text,annotation_25,annotation_21,annotation_77,annotation_23
BRING BACK THE OLD FLAMIN' HOT LAYS FORMULA,unclear,unclear,unclear,anti-mitigation
Pakistan didn't cause the pandemic - racist British reports will increase hate crime.,unclear,unclear,unclear,unclear
Stop Australian Banks Charging Interest during Covid-19,pro-mitigation,unclear,unclear,unclear
Denver Public Schools: SAFE Openings - 14 Days w/o New COVID Cases,anti-mitigation,pro-mitigation,unclear,anti-mitigation
Postpone UCLA Class of 2020 Commencement,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
NO IN SCHOOL EXAM COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Safeguard the Right of All Laboring People to Have Support During COVID-19 Crisis,pro-mitigation,unclear,unclear,anti-mitigation
TRUSD Must Condemn Anti-Asian and Racist Behavior,unclear,unclear,unclear,unclear
¡Medidas MÁS SERIAS para enfrentar el COVID-19 en Miami!,unclear,pro-mitigation,pro-mitigation,unclear
Shut Down PISD schools during Covid-19 Outbreak,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Renew I Am Not Okay With This,unclear,unclear,unclear,unclear
Scotland Back in the EU,unclear,unclear,unclear,unclear
Government of Ghana Must Implement the National Health Laboratory Policy,unclear,pro-mitigation,unclear,pro-mitigation
Freeze Rent for All NYC Residents,pro-mitigation,unclear,unclear,unclear
Closure of educational institutes due to multiple outbreaks of COVID-19 in Pune .,unclear,pro-mitigation,unclear,pro-mitigation
Spring sports for International leadership of texas,unclear,unclear,unclear,unclear
Temporary online classes for HELP students due to covid-19,unclear,pro-mitigation,pro-mitigation,pro-mitigation
Dominos Employees Demand COVID-19 Hazard Pay,pro-mitigation,unclear,unclear,pro-mitigation
Make FUHSD Classes Accessible Online,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
To impeach Governor Ron DeSantis for neglecting his duty to protect Floridians from COVID,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Partial Refund of Fees for Curtin University Malaysia,unclear,unclear,unclear,unclear
ICE: Do not deport International Students,unclear,unclear,unclear,unclear
Free data for students,unclear,unclear,unclear,unclear
300 Trees being removed for redevelopment by Kejriwal Ji's Govt in Ayur Vigyan Nagar Delhi,unclear,unclear,unclear,unclear
A CALL TO ACTION FOR ESSENTIAL HEALTH & FITNESS. RE-OPEN OUR GYMS IN ONTARIO!!!,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
"Anchorage, AK: Repeal Emergency Order 15 to Help Our Community",unclear,unclear,unclear,anti-mitigation
COVID-19 TOTAL ENTRY BAN: ZAMBIA MUST CLOSE ITS BORDERS AND AIRPORTS IMMEDIATELY,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
No detriment policy for UWE Bristol,unclear,unclear,unclear,unclear
FDA expedite review and approval of lifesaving Cuban antiviral for COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Zero Percent Interest on Credit Cards during COVID19,unclear,unclear,unclear,unclear
"Make Corona Testing Free in India.
(Including Pvt. Hospitals and Clinics)",pro-mitigation,pro-mitigation,unclear,pro-mitigation
Petition for Nirma University to take preventive action against COVID 19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Hazard Pay and Family Leave for Walgreens Employees,pro-mitigation,unclear,unclear,unclear
"4-POINT THOMASIAN DEMANDS: FIGHT FOR OUR WELL-BEING, LIVELIHOOD, AND DEMOCRATIC RIGHTS!",unclear,unclear,unclear,unclear
Make masks mandatory in South Carolina,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Pay PetSmart Employees While on Leave,unclear,unclear,unclear,unclear
"Wedding, Event & Creative Professionals Covid-19 Relief Fund",unclear,pro-mitigation,unclear,pro-mitigation
Dental Hygiene High Risk Occupation for exposure to COVID/19 Ensuring Personal Safety,unclear,pro-mitigation,unclear,unclear
Allow college students to pass during the COVID-19 pandemic.,unclear,pro-mitigation,unclear,unclear
HBUHSD DISTRICT SHUTDOWN FOR COVID-19 (CORONAVIRUS),unclear,,unclear,pro-mitigation
Support Peoria Academy During The COVID-19 Crisis,unclear,pro-mitigation,unclear,unclear
Concerning the Safety of Soccer in a Covid-19 World - A Letter to Governor DeWine,unclear,unclear,unclear,pro-mitigation
Suspend Online Classes or Refund Our Money,anti-mitigation,anti-mitigation,unclear,pro-mitigation
Keep kids in extra curricular activities in ND.,anti-mitigation,unclear,unclear,anti-mitigation
COVID-19 crisis -more Australian music to be played on Australian radio.,unclear,unclear,unclear,unclear
Extend financial package to cover losses of covid19 lockdown to small businessman also....,pro-mitigation,unclear,unclear,pro-mitigation
Australian Medical Schools Must Consider an Opt In/Opt Out System for 2020 GPA Results,unclear,unclear,unclear,unclear
COVID-19:Provide Work From Home to all employees before it's too LATE. Health is important,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Make small grants/funding available for Self Employed & Freelancers during COVID-19,unclear,unclear,unclear,unclear
Το Σπίτι Δεν Είναι Ασφαλές Για Όλες / Home Is Not Safe For All,unclear,unclear,unclear,anti-mitigation
Partial tuition refund due to the COVID-19 virus causing classes to go online,unclear,pro-mitigation,unclear,pro-mitigation
Bryn Mawr College COVID-19 Credit/No Credit Spring Semester,unclear,unclear,unclear,pro-mitigation
"Save Our Future Teachers - Support, & Share",unclear,unclear,unclear,unclear
Save Services for Those with Developmental Disabilities During Covid-19,pro-mitigation,unclear,unclear,anti-mitigation
PASSING GRADES FOR ALL STUDENTS FOR THE SPRING 2020 SEMESTER!,unclear,unclear,unclear,unclear
Kenyan Citizens requesting IMF to withhold any loans or grants to the government of Kenya!,unclear,unclear,unclear,unclear
Tell west Virginia representatives to not make hazelton/gilmer prison a quarantine site,unclear,unclear,unclear,anti-mitigation
Save Georgia Disability Services,unclear,unclear,unclear,unclear
Protect Doctors Nurses & Medics against punitive litigation during & after COVID-19 Crisis,unclear,anti-mitigation,unclear,pro-mitigation
Safe Staffing during COVID at Emanate,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Help International Students Stay at The University of Texas at Austin!,unclear,unclear,unclear,unclear
The Immediate Issue of Travel Documents for Sarah's children to come to Canada,unclear,unclear,unclear,unclear
Environmental Impact Assessment Notification 2020-Withdrawal,unclear,pro-mitigation,unclear,unclear
ISO: Give engineers the Standards needed to build ventilators in fight against COVID-2019,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Protect People in Long-Term Care,pro-mitigation,pro-mitigation,unclear,unclear
Please facilitate 14-days-self-quarantine of Iranian new immigrants,pro-mitigation,anti-mitigation,pro-mitigation,pro-mitigation
Waive EDD False Statement Penalty Weeks during COVID 19 for Claimants in Good Standing,unclear,unclear,unclear,unclear
Bring back McDonald's SNACK WRAPS!,unclear,unclear,unclear,unclear
Pay rise for frontline NHS staff tackling COVID-19,unclear,pro-mitigation,unclear,pro-mitigation
Allow Cigarettes and Tobaccos during COVID-19 lockdowns,anti-mitigation,unclear,unclear,unclear
Family pleads for compassionate visits in father's dying days,anti-mitigation,anti-mitigation,unclear,unclear
"Immediately Enact Vegan Law to Stop COVID-19, Climate Change, Rescuing Our World!",pro-mitigation,unclear,unclear,pro-mitigation
Time to Save the New York YMCA Camp from Potential Sale,unclear,unclear,unclear,unclear
Supermarkets: Stop Selling Suffering!,unclear,unclear,unclear,unclear
Give Oregon Kids What They Need to Learn to Read!,unclear,unclear,unclear,unclear
Allow spa and leisure facilities to demonstrate that they can reopen safely.,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Compensate hospital locums and locum GPs from Covid 19 self-isolation income loss,unclear,pro-mitigation,pro-mitigation,pro-mitigation
Removal of payment of compulsory payment of ₦52000 covid test upon arrival in Nigeria.,unclear,pro-mitigation,unclear,pro-mitigation
Levez les sanctions contre l’Iran pour lutter contre l’épidémie de coronavirus !,unclear,pro-mitigation,unclear,pro-mitigation
Freeze rents & mortgages for the duration of Coronavirus,unclear,unclear,unclear,unclear
COVID-19: BE PROACTIVE NOT REACTIVE,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Require Vaccination Options for WA Teachers & Students before returning to school.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Respiratory Therapists Deserve Hazard Pay,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Relaxation in EMI due to COVID-19. Appeal to Govt. of India for 6 months relief.,pro-mitigation,unclear,unclear,unclear
Support Louisiana Vote-By-Mail,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Stop Evictions in Whittier - COVID-19,pro-mitigation,unclear,unclear,pro-mitigation
PASS/FAIL Grading Option for Spring 2020 Semester at the University of Miami,unclear,unclear,unclear,unclear
30% Pay Cut for Top 10 City Managers,unclear,unclear,unclear,unclear
Justice For Jamaicans Against the Jamaica Public Service (JPS),unclear,unclear,unclear,anti-mitigation
"#MoveAsOne: Affordable, Efficient, and Humane Public Transportation for Filipinos",unclear,unclear,unclear,unclear
Give NAIA Athletes Another Year of Eligibility,pro-mitigation,unclear,unclear,unclear
Support and clear guidance for the reopening of baby and toddler classes and groups.,pro-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
"UArizona COVID-19 Response from Coalition of Concerned Faculty, Staff, and Students",unclear,unclear,unclear,pro-mitigation
COVID and Poverty,unclear,unclear,unclear,unclear
Keep independent Texas restaurants alive during COVID-19,unclear,anti-mitigation,unclear,anti-mitigation
Allow Tattoo Shops in NV to reopen in Phase 2,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Sailors need lifesavers too!!! Wake up world!!!,unclear,unclear,unclear,unclear
Save Tennessee’s Zoos and Aquariums,unclear,unclear,unclear,anti-mitigation
Doug Ford: Allow Horse Racing to Continue,unclear,anti-mitigation,anti-mitigation,anti-mitigation
Shift semester end exams in VTU colleges to online mode due to pandemic situation.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
President Trump: Fight for Monthly Stimulus Payments and be a Hero to the People,pro-mitigation,unclear,unclear,unclear
Justice for EMS,unclear,unclear,unclear,unclear
Ask Gov. Polis to announce a COVID-19 Relief Package for Food & Bev,unclear,unclear,unclear,unclear
Stop Exposing Sanitation Workers through Open Bin Garbage Collection,pro-mitigation,pro-mitigation,unclear,unclear
Shut down and clean Amazon facilities that test positive for COVID-19 EWR9,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Illinois for Remote Learning,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Pay the £500 bonus to all Scottish healthcare workers,pro-mitigation,pro-mitigation,unclear,pro-mitigation
LAX Employee Busses & COVID-19 Precautions,pro-mitigation,pro-mitigation,unclear,pro-mitigation
"Help St John become fully funded, it's a travesty they aren't already!",unclear,pro-mitigation,unclear,unclear
International healthcare workers to be able to relocate overseas with minimal ielts hussle,unclear,unclear,unclear,pro-mitigation
Pay the Student Nurses and Midwives,unclear,unclear,unclear,unclear
Suppression totale des prélèvements CARMF pendant la durée de la crise Covid,unclear,pro-mitigation,unclear,unclear
Shut Down UVIC and Keep Students Safe,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
DO NOT OPEN OUR SCHOOLS DURING COVID-19 CRISIS,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
The Iranian people suffering from Coronavirus; Lift All Medical Sanctions Now,pro-mitigation,anti-mitigation,unclear,unclear
NOW! Support House Resolution 151 to protect AAPI communities from hate and bias attacks.,unclear,unclear,unclear,unclear
Hundred of Myanmar doctors are in turmoil for UK job/exams due to closure of local VFS,unclear,unclear,unclear,unclear
GOV. BROWN: OPEN POOLS IN OREGON TO COMPETITIVE SWIMMERS IN PHASE 1,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Request to Make NC A&T Spring 2020 Courses Pass/Fail due to COVID-19,pro-mitigation,unclear,unclear,pro-mitigation
De-Densify Cornell's Ithaca Campus By Rescinding Jessica Zhang '24 Acceptance,unclear,pro-mitigation,unclear,unclear
#FlattenTheCurve: Order Stricter Implementation of “Work From Home” in Companies,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
GYMS VS. THE STATE OF ALABAMA,unclear,unclear,unclear,unclear
A law to close entertainment venues during the COVID-19 outbreak to safeguard jobs.,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Keep Doulas in the Hospital Supporting Moms during COVID-19,unclear,unclear,anti-mitigation,anti-mitigation
Cancellation of final year exams as the risk of Covid 19 spread have increased.,pro-mitigation,pro-mitigation,unclear,pro-mitigation
"Pettion to Allow for Outdoor, Socially Distanced Workouts",anti-mitigation,unclear,pro-mitigation,anti-mitigation
"In wake of COVID-19 slowdown, guarantee the American people a Universal Basic Income",unclear,unclear,unclear,unclear
Cancel Rent and Mortgage Payments during Covid-19,pro-mitigation,unclear,unclear,unclear
HOLD INDIA ACCOUNTABLE FOR HUMAN RIGHTS VIOLATIONS IN KASHMIR,unclear,unclear,unclear,unclear
Change USF Class Grading to Mandatory Pass/Fail for Spring 2020  Due to COVID-19,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Urgent resources for COVID-19 in Indigenous Communities,pro-mitigation,unclear,pro-mitigation,pro-mitigation
Petition to reconsider the decision of eliminating the University of Hartford Spirit teams,unclear,unclear,unclear,unclear
FLORIDA PRISONERS COVID-19,unclear,unclear,unclear,unclear
$2000/month to every American #moneyforthepeople #covid19,unclear,unclear,unclear,unclear
Ontario needs to allow salons to open before they lose their businesses!,anti-mitigation,anti-mitigation,anti-mitigation,unclear
Temporary Hazard Pay For Grocery Workers During COVID-19 Pandemic,unclear,unclear,unclear,pro-mitigation
BAME LEADERSHIP: A DEMAND FOR A COVID-19 RACE EQUALITY STRATEGY,pro-mitigation,unclear,unclear,unclear
Force Banks to Give Mortgage & Payment Holiday,unclear,unclear,unclear,unclear
Bring back Maldivians stranded in Malaysia due to Covid 19,unclear,unclear,anti-mitigation,anti-mitigation
Require masks in grocery stores to fight COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Access to Covid-19 swabbing for symptomatic NHS and frontline emergency services,unclear,pro-mitigation,unclear,pro-mitigation
"AirAsia Should Refund Its’ Customers with Cash Refund, or at least Provide The Options",unclear,unclear,unclear,unclear
Unmask our children,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Improve the Mobile Network : Fix Minimum 4G Internet Speed,unclear,unclear,unclear,unclear
Create a reopening plan that allows internationals to stay in the U​.​S.,anti-mitigation,unclear,anti-mitigation,anti-mitigation
Audit PMCARES FUND,unclear,unclear,unclear,unclear
Atlanta Spa Shooting of Asian Women is a Hate Crime,unclear,unclear,unclear,unclear
"Extenuating Circumstances for international students, University of Surrey",unclear,unclear,unclear,unclear
"Smithfield has case of COVID-19 in facility in Sioux Falls SD, should shut down for 2 week",unclear,pro-mitigation,pro-mitigation,pro-mitigation
Close Surrey School District's schools due to Coronavirus spread,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Make school covid-19 safe,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Stop the Corona Virus: Close the New Zealand borders: Save the local economy,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Don’t force students to physically attend school on May 16 in New Jersey.,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Shutdown PartyTown Guelph to prevent the spread of COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Priority covid-19 testing for healthcare workers with symptoms,unclear,pro-mitigation,pro-mitigation,pro-mitigation
Africa WILL NOT be the testing ground for the Covid-19 vaccine,unclear,unclear,unclear,anti-mitigation
Shut Down Alabama,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Save the Graffiti Highway,unclear,unclear,unclear,unclear
Compensation for Covid-19 fedEx Ground Drivers.,pro-mitigation,unclear,unclear,unclear
Cancel AHSEC board exam,pro-mitigation,unclear,unclear,pro-mitigation
Prepping for Tourism Re-Opening to Avoid a COVID-19 Hotspot at Laniakea Beach,pro-mitigation,pro-mitigation,unclear,anti-mitigation
"Declaration for Change:
Families Advocating for Compassionate Eldercare (FACE)",unclear,unclear,unclear,unclear
Suspend Boston Exam School Admissions Testing for One Year!,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Corona-Schutz für Obdachlose - sofortige Unterbringung benötigt!,unclear,unclear,unclear,unclear
Covid-19 Impfung für Schwangere!,unclear,pro-mitigation,unclear,unclear
STOP the Construction of a New Hog Confinement in Poweshiek! Save Our Air and Water!,unclear,unclear,unclear,unclear
Temporary Moratorium on Evictions Due to COVID-19 Financial Hardships,unclear,unclear,unclear,unclear
Cancel Utility Payments for Belizean Households,unclear,unclear,unclear,unclear
Extended Temporary bonus COVID-19 Pay,unclear,unclear,unclear,pro-mitigation
Dentistry in South Africa needs your help after the COVID-19 pandemic!,pro-mitigation,unclear,unclear,unclear
Food companies need to set purchase limits!,unclear,unclear,unclear,unclear
NHS Payrise post Covid - 19,unclear,pro-mitigation,unclear,pro-mitigation
Subir el limite en los ayudas de alquilar,unclear,unclear,unclear,unclear
Protect our Healthcare workers during the COVID-19 War!,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Personal protective equipment (PPE) is essential to protect health care workers,pro-mitigation,unclear,pro-mitigation,pro-mitigation
Close Schools during the COVID-19 pandemic,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Immediate Relief for Rent/Mortgage/Utility Bills in Michigan due to COVID-19,unclear,pro-mitigation,unclear,unclear
Loan forgiveness for nurses actively working during Covid -19,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Get lawmakers to take action on homelessness,unclear,unclear,unclear,unclear
India can defeat COVID-19 with more investments in nutrition,pro-mitigation,unclear,unclear,unclear
Banks should freeze mortgage to survive the current COVID-19 shutdown.,pro-mitigation,unclear,unclear,pro-mitigation
Save weddings & events! Create an Advisory Group to consult on safely reopening Ohio,unclear,unclear,pro-mitigation,anti-mitigation
Stop the immigration ban of Doctors and Nurses and lift the deployment ban for HCWs,unclear,anti-mitigation,unclear,pro-mitigation
Allow 17 Year Olds to Receive Their Driver's License In New Jersey Without The Road Test,unclear,unclear,unclear,unclear
Second chance for seniors!,unclear,unclear,unclear,unclear
Elderly Woman Battling Breast Cancer Needs Urgent Commutation of Sentence,unclear,unclear,unclear,unclear
Federal Assistance for Regional Airlines,pro-mitigation,unclear,unclear,unclear
Close Beaverton School District COVID 19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Allow Ontario's young athletes a safe return to sports,unclear,unclear,anti-mitigation,anti-mitigation
Postponement of GATE 2021 exam due to pandemic situations,unclear,pro-mitigation,unclear,pro-mitigation
ECFMG Certification without Step 2 CS,unclear,unclear,unclear,unclear
Fair treatment of freelance artists during the COVID-19 crisis,unclear,unclear,unclear,unclear
temporary close campus due to concerns of coronavirus(COVID-19),unclear,pro-mitigation,pro-mitigation,pro-mitigation
Reform of the Dental Council of New Zealand,unclear,unclear,unclear,unclear
Arizona Suspend mortgage/rent and utility bills during mandatory Coronavirus shut down,unclear,pro-mitigation,unclear,pro-mitigation
#CloseCrownCasino during the Coronavirus Pandemic,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
COVID-19: Demand Serious Action on Health Crisis!,pro-mitigation,pro-mitigation,unclear,pro-mitigation
"Lakehead, Help Students During COVID-19",unclear,pro-mitigation,unclear,unclear
Utah: Slow the COVID-19 Spread with Mandatory Masks,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Force Dillard’s to close their Doors,unclear,pro-mitigation,unclear,unclear
Make July 2021 Graduation Happen for Uni of Liverpool Students!,anti-mitigation,unclear,anti-mitigation,anti-mitigation
Clear the California DMV Backlog: Allow Licensed Driving Instructors to Approve Drivers,unclear,unclear,unclear,unclear
Reunir fondos para llevar a mi mamá a un hospital particular para que la atiendan,unclear,unclear,unclear,pro-mitigation
Shut down schools in VVSD 365u due to COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"DEAR PRESIDENT UHURU, WE CAN'T BREATH!",pro-mitigation,anti-mitigation,unclear,unclear
Open the QLD border to postcodes that have no active cases! Zero Covid = Not a hotspot!,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Cancellation of ib exams for generations 2020 2021,unclear,unclear,unclear,pro-mitigation
"Suspend Rent, Mortgage, & Utility Payments During the Covid-19 (coronavirus) Pandemic",unclear,unclear,unclear,unclear
Appeal to reduce university tuition in JA now that classes are online amidst COVID-19,pro-mitigation,unclear,unclear,unclear
Demanding Hazard Pay for Instacart Workers: The Frontline of COVID-19,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Free parking for hospital staff during COVID-19 pandemic in Canada.,pro-mitigation,pro-mitigation,unclear,pro-mitigation
CERB Must Include Students and Seasonal Workers Unable to find Work,unclear,unclear,unclear,unclear
Stop Increasing Rent During COVID-19,unclear,unclear,unclear,unclear
More medical supplies needed,pro-mitigation,unclear,unclear,pro-mitigation
Slow/Stop Spread of COVID-19 in Milpitas (@WeAsk2Mask),pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
WCPSS Ignoring Parents: Tables Still Cleaned With Water Only,unclear,pro-mitigation,unclear,unclear
"Keith Rowley, Fire Yourself!",unclear,anti-mitigation,unclear,unclear
COVID-19: Please allow parents to keep school children at home without repercussions,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
No! to Miramar Furlough,unclear,unclear,unclear,unclear
Help International Students return to Australia before 2021!,unclear,unclear,unclear,anti-mitigation
Eat Healthy. Avoid pork and scavenger meat - it makes you sick.,unclear,unclear,unclear,unclear
Protect our migrant workers from Covid-19,pro-mitigation,pro-mitigation,pro-mitigation,unclear
COVID 19 AND CANCELLED FLIGHTS,unclear,unclear,unclear,pro-mitigation
Require Frequent COVID-19 Testing at Villanova,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Help stop the destruction of 400 million-year-old Ainslie Volcanics,unclear,unclear,unclear,unclear
Postpone or cancel VTU semester exams due to COVID-19 fears.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Stop the demolition of the Monument of Anti-Chico Dams Struggle Heroes,unclear,unclear,unclear,unclear
Make Northeastern University a Sanctuary Campus,unclear,unclear,unclear,unclear
"LMU, do right by your students.",unclear,unclear,unclear,unclear
St. James Town Urgently Needs Space for Food Security,unclear,unclear,unclear,pro-mitigation
Protect the arts from economic devastation following COVID-19 closures,unclear,unclear,unclear,unclear
Don’t relax lockdown until the NHS has sufficient supplies of PPE,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"CANCEL BOARD EXAMS! 
HEALTH>>EXAMS",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Get all school staff and nurseries vaccinated over Feb half term so schools can reopen,pro-mitigation,pro-mitigation,unclear,unclear
"Vote of no confidence in Willie Walsh, Alex Cruz & the British Airways Board",unclear,unclear,unclear,unclear
Covid-19 vs. Prisoners,unclear,unclear,unclear,unclear
Close all New Jersey schools due to COVID-19 virus,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Launch a COVID-19 Vaccination Program for the West Bank and the Gaza Strip,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Local Fire Sirens - should be heard!!,unclear,unclear,unclear,unclear
SAVE THE PORTLAND CHILDREN'S MUSEUM,unclear,unclear,unclear,anti-mitigation
6 Demands from NHS staff to help us tackle Coronavirus,pro-mitigation,unclear,unclear,pro-mitigation
Make 0% Interest Student Loans Permanent,unclear,unclear,unclear,unclear
Full Lockdown from government of Malaysia due to Covid 19 spreading.,unclear,pro-mitigation,unclear,pro-mitigation
"Support fair pay for NZ's aged care nurses - PETITION CLOSED WE REACHED 15,000! THANKS!",pro-mitigation,unclear,unclear,unclear
Rollins College's Spring Semester changed to PASS/FAIL grades due to COVID-19,unclear,pro-mitigation,unclear,unclear
RESCHEDULING OF IIE GRADUATION,unclear,pro-mitigation,unclear,unclear
Justice for 89-year-old Asian American Hate Crime Victim,unclear,unclear,unclear,unclear
India - Immediately Designate Private Hospitals as COVID Govt Hospitals Until COVID clears,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Save the saviors,pro-mitigation,pro-mitigation,unclear,unclear
Save John Lewis Peterborough,unclear,unclear,unclear,unclear
Reduce the 4700 rm quarantine charges or home quarantine for international students.,anti-mitigation,anti-mitigation,unclear,pro-mitigation
