text,annotation_105,annotation_106,annotation_107,annotation_108
Major retail chains should provide free home delivery to those most at risk from Covid-19.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Continue to Subsidize Child Care, in Texas, during the Covid 19 pandemic",pro-mitigation,unclear,pro-mitigation,pro-mitigation
Advice the government of Botswana to temporarily close down schools amid covid 19 outbreak,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
COVID BCG Vaccine must start in countries with highest cases of infections NOT in Africa.,unclear,pro-mitigation,pro-mitigation,unclear
Governor Jay Inslee to forgive Rent/Mortgage in Washington State for 90 days,unclear,pro-mitigation,pro-mitigation,unclear
ATTN Governor Baker- Open Mass Training studios and Personal Training Safely ASAP,unclear,anti-mitigation,anti-mitigation,anti-mitigation
Pace University Petition - COVID-19 Pandemic,unclear,unclear,unclear,unclear
Pay NYC substitute para professionals during COVID-19 School Closures,pro-mitigation,pro-mitigation,unclear,pro-mitigation
A plea to the Universities during the time of this Pandemic,unclear,anti-mitigation,unclear,unclear
CARTA PELOS POBRES!,unclear,unclear,unclear,unclear
NO NASHVILLE GOP CONVENTION,unclear,pro-mitigation,unclear,pro-mitigation
Support BGU Students during Covid-19,unclear,unclear,anti-mitigation,unclear
HELP NS Veterinary Clinics Stay Open‼️,anti-mitigation,unclear,anti-mitigation,anti-mitigation
SNP MP Margaret Ferrier resign after travelling to London with a positive COVID test,unclear,anti-mitigation,pro-mitigation,unclear
Start drive-through community-based COVID-19 assessment centres provided by our Labs!,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Promotion Of AKTU College Students to Next Semester Without Exam.,pro-mitigation,pro-mitigation,unclear,unclear
"Guarantee PPE availability for healthcare workers, both in government and private sector",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
University of Guelph COVID-19 - Move Classes Online,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Get Finals Moved to Online Due to Corona Virus (COVID-19),pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
“Freeze Rent and Mortgages during Covid-19”,unclear,unclear,unclear,anti-mitigation
UVM COVID 19 Protocol,unclear,pro-mitigation,unclear,unclear
Compensate Fees after Closure of Universities due to Covid-19 Pandemic,unclear,unclear,unclear,pro-mitigation
No MAGA Mural in Petaluma!,unclear,unclear,pro-mitigation,unclear
"Petition to Freeze Rent, Mortgage, & Utility Bills During Covid-19 Pandemic",unclear,unclear,unclear,unclear
Utah: Require Insurers to Pay COVID-19 Business Interruption Claims for Restaurants,pro-mitigation,unclear,pro-mitigation,pro-mitigation
Halt all catalogs sent through USPS for the 3 weeks leading up to the election,unclear,pro-mitigation,unclear,unclear
Shut down TORONTO COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Partial tuition refund for students at Greengates, due to online classes.",pro-mitigation,unclear,unclear,unclear
Fund & Restore the SBA EIDL to help small businesses and gig workers affected by COVID-19.,unclear,pro-mitigation,unclear,pro-mitigation
No Karnataka CET in July,pro-mitigation,pro-mitigation,pro-mitigation,unclear
PETITION FOR ACADEMIC EASE,unclear,anti-mitigation,unclear,pro-mitigation
Demand Adequate Pay for Actra Toronto Members Completing Required COVID Testing,pro-mitigation,unclear,unclear,anti-mitigation
Protest against petroleum fuel price hike in India,unclear,unclear,unclear,anti-mitigation
Objection to Notice dt-12th Feb 2021 issued by Panvel Municipality for Property tax,unclear,unclear,unclear,unclear
Allow cancer patients to access treatment and clinical trials - please do not donate,unclear,pro-mitigation,unclear,anti-mitigation
Cancel Deanza Classes Amid Coronavirus Outbreak (COVID-19),pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Reopen pools now,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Cancel B Tech Exams for intermediate semesters -KTU,unclear,pro-mitigation,pro-mitigation,pro-mitigation
LET US PLAY,anti-mitigation,anti-mitigation,anti-mitigation,unclear
Stop the deportation of Australian mothers and their children into abusive situations,unclear,unclear,unclear,unclear
AMEND the Law Indicating 3% Philhealth Premiums for Physicians and 0​.​5% Yearly Increase,unclear,pro-mitigation,unclear,unclear
Re-enact mandatory indoor masking as a basic public health measure.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Reschedule Class of 2020 Events!,pro-mitigation,anti-mitigation,pro-mitigation,anti-mitigation
Pass/Fail Grading Option at the University of South Carolina for this Semester,unclear,unclear,unclear,anti-mitigation
Addison Davis must RESIGN Immediately,unclear,pro-mitigation,unclear,unclear
Haramkan penggunaan dan penjualan rokok elektronik dan vape di Malaysia,unclear,unclear,unclear,unclear
Pelo Lockdown em TODAS cidades com +150​.​000 habitantes,pro-mitigation,pro-mitigation,pro-mitigation,unclear
Clemency for Bryon Russ,unclear,anti-mitigation,unclear,unclear
"Moderna, Pfizer, and CureVac: Ensure we can end the Pandemic. Help others produce Vaccine",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Stop travel to rural holiday destinations in UK during Covid-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Cerrar canal de SOY DAVID SHOW por violar cuarentena COVID-19,unclear,pro-mitigation,pro-mitigation,unclear
"Build bike lanes on Bloor, Danforth & Yonge now",unclear,unclear,pro-mitigation,unclear
REISEWARNUNG AUFHEBEN! - Mallorca is NO RISK zone.,unclear,anti-mitigation,unclear,unclear
ALL EXAMS / TESTS TO BE ONLINE,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Cherokee Co. Sheriff Spokesperson, Capt. Jay Baker Must Go!",unclear,pro-mitigation,pro-mitigation,unclear
The German government should cancel rents for international students till CoVid19 is over.,pro-mitigation,unclear,pro-mitigation,unclear
Petition for Online Teaching in LSE under COVID-19 Threat,pro-mitigation,anti-mitigation,pro-mitigation,pro-mitigation
Smaller Nonprofits Need Help Now To Survive COVID-19,pro-mitigation,unclear,pro-mitigation,unclear
Make CUSD Schoolwork Optional Due to COVID-19 Pandemic,pro-mitigation,unclear,pro-mitigation,unclear
Replacing the COVID Awareness Caller tune with Mayur Jumani's Remix version,anti-mitigation,anti-mitigation,unclear,anti-mitigation
Australian Dept of Education Duty of care failures COVID 19,unclear,anti-mitigation,unclear,unclear
Health care workers and Covid-19,unclear,unclear,unclear,unclear
"Indian Doctors battling COVID lack PPE, while IPL pays cricketers millions of dollars",unclear,unclear,pro-mitigation,pro-mitigation
Illinois  Schools Should Void 4th Quarter Grading and Pass All 2019/2020 Classes,unclear,unclear,unclear,pro-mitigation
Make UNF give us refunds for housing/ dining if we are forced to leave again due to covid,unclear,pro-mitigation,unclear,pro-mitigation
Change UT to a Pass/Fail grading system (with a letter grade option) for Spring 2020,unclear,unclear,unclear,pro-mitigation
Front line workers deserve hazard pay from Danbury and New Milford Hospital.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Regarding UC Irvine's Decision to Cancel 2020 Commencement,pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
"IDPH, Cheerleaders Are Athletes! COVID-19",anti-mitigation,anti-mitigation,anti-mitigation,unclear
"Stop the spread of COVID-19: Cancel the 7/11/20 Trump rally in Portsmouth, NH",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
CoVid 19 Petition : To gain government support for small businesses in India,unclear,anti-mitigation,pro-mitigation,unclear
VTU is planning to conduct Offline exam over online semester - COVID is still rising,anti-mitigation,anti-mitigation,pro-mitigation,anti-mitigation
Demand a Green New Deal to save the planet after Covid-19,unclear,pro-mitigation,unclear,unclear
Protect Pregnant Healthcare Workers & Healthcare System from COVID19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Cuomo Close NYC construction during  Covid-19. Save peoples lives,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"COVID-19 Pandemic: Supplies, Financial Support and Compassion for Humanity",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Extend IELTS validity by a year following Covid-19 Pandemic,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Commence Scenario 2 for High Schools and Revise COVID-19 Guidelines in Alberta,pro-mitigation,anti-mitigation,unclear,pro-mitigation
Petition to PM & FM INDIA: RELIEF FOR INDIAN LOAN BORROWER;EMI HOLIDAY! PLS BAN MORATORIUM,unclear,pro-mitigation,unclear,unclear
Facebook: Don’t stop the music!,unclear,anti-mitigation,unclear,unclear
Extend compassionate use of Remdesivir to health care workers,pro-mitigation,pro-mitigation,pro-mitigation,unclear
Impose trade sanctions for nations with unsafe bio-security in their (wet) meat markets,pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
Lift the ban on alcohol sales in Barbados during the Covid-19 lock-down,anti-mitigation,anti-mitigation,unclear,anti-mitigation
"Housing Is Health! No Homelessness, No Rent Debt",unclear,unclear,pro-mitigation,unclear
Padma Vibhushan for Dr KK Aggarwal,unclear,unclear,unclear,anti-mitigation
Petition to lower the tuition fees for 2020/2021 sem 1 at Universiti Teknologi Malaysia.,unclear,unclear,unclear,pro-mitigation
MUHS should conduct online examination or Postpone MBBS examinations due to rising COVID,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Release College Students From Off-Campus Housing Obligations During COVID-19 Pandemic,unclear,pro-mitigation,pro-mitigation,pro-mitigation
Get competitive swimmers back in the pool in PA!,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Extend COVID-19 relief packages to temporary visa holders,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Justice for Nikita Tomar,unclear,unclear,unclear,unclear
"Allow live meetings, conventions, and tradeshows to operate in Las Vegas at 50% capacity!",anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Protect Chesterfield's Special Education Students!,unclear,pro-mitigation,unclear,unclear
Forgiving rents in the time of lockdown due to Coronavirus,unclear,pro-mitigation,pro-mitigation,pro-mitigation
Move the Pop-Up Covid Test Centre away from the Old Town!,pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
We Won't Leave Anyone In Our Community Behind During COVID-19 Pandemic,unclear,pro-mitigation,unclear,unclear
Tranparency Regarding Keller ISD's Management of COVID-19,unclear,unclear,unclear,unclear
Protect Orillia During COVID-19,unclear,pro-mitigation,pro-mitigation,unclear
Release all ICE Detainees Immediately,unclear,unclear,pro-mitigation,unclear
Unmask Elementary Children Outdoors (and all together).,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Save Redrow/Crem skatepark,unclear,unclear,unclear,unclear
Give the elderly the first hour of supermarket trading during Covid-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Close all MESA PUBLIC SCHOOLS because of COVID-19. Protect our Children!,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
#PostponeNEET_JEE,unclear,pro-mitigation,pro-mitigation,pro-mitigation
Cancel all further exams due to instability caused by COVID-19,unclear,pro-mitigation,pro-mitigation,pro-mitigation
Governor Hogan: Close preschools to protect childcare workers from the spread of COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Lower the age of breast cancer screening in Scotland - “Better screened than sorry”,unclear,unclear,unclear,unclear
Open Personal Training Studios During Phase 2,anti-mitigation,unclear,anti-mitigation,anti-mitigation
Tell Gov. Cuomo: Broadway Deserves a Seat at the Table,unclear,anti-mitigation,anti-mitigation,anti-mitigation
Covid 19: Repatriación de argentinos y residentes argentinos en el exterior.,unclear,pro-mitigation,anti-mitigation,unclear
NIRA to extend eligibility for athletes whose seasons were cut short,unclear,pro-mitigation,unclear,unclear
Protect Essential Autism Care in PA,unclear,unclear,unclear,unclear
Pass all classes of 2020 second semester,unclear,pro-mitigation,unclear,unclear
Concordia University students asking for the grading system this semester to be PASS/FAIL,unclear,unclear,unclear,unclear
Postpartum support for mothers in Newfoundland during COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,unclear
Saskatchewan Needs a Better Back-To-School Plan,unclear,pro-mitigation,pro-mitigation,unclear
Petition for NSW Year 12 students to hold Graduation Assemblies and formals,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
"Lecce, DO NOT CHANGE MARCH BREAK AGAIN!",unclear,pro-mitigation,unclear,anti-mitigation
Postpone Highschool Spring Sports instead of Cancelling,unclear,anti-mitigation,pro-mitigation,pro-mitigation
Save Echo Park Lake,unclear,pro-mitigation,unclear,unclear
Proactively protecting the health of SHSU and Huntsville Amid growing concerns of COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Reschedule Rutgers University 2020 Commencement,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
COVID Outbreak: CLOSE DEVONSHIRE MALL,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Re-opening of ALL Golf Facilities Immediately for ALL GOLFERS,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Covid-19: give economic hardship relief to the hair & beauty industry – support UK salons,pro-mitigation,anti-mitigation,pro-mitigation,anti-mitigation
"Demand Visa, MasterCard, AMEX & Discover Reduce/Waive Certain Fees during COVID 19",unclear,pro-mitigation,unclear,pro-mitigation
Get Nassau County To Reverse The Postponement Of The 2020 Fall Season,pro-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Unemployment Relief For Independent Workers With Mixed Income Types,unclear,pro-mitigation,unclear,pro-mitigation
"""Play On""",unclear,anti-mitigation,unclear,unclear
Allowing athletic competition,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Manitobans Demand a FAIR Contract for Nurses & Quality Patient Care,unclear,unclear,unclear,pro-mitigation
Close UC Berkeley Campus Due to COVID-19 New Cases in Surrounding Areas,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
COVID-19 Hazard pay for all 1199 SEIU healthcare workers now,pro-mitigation,pro-mitigation,unclear,unclear
COVID-19 Pandemic: Reinstate Premium Pay for Essential Employees in the State of Maryland,unclear,pro-mitigation,pro-mitigation,pro-mitigation
Impeach Michigan Governor Gretchen Whitmer NOW,unclear,pro-mitigation,pro-mitigation,unclear
Grace-Graduate final year UG students owing to Covid-19,unclear,unclear,unclear,pro-mitigation
82yr Old Woman Battling Leukemia Needs Urgent Commutation of Sentence,unclear,unclear,unclear,unclear
Online classes for Universidad europea de valencia (COVID-19 Emergency),pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Sack Dominic Cummings!,unclear,pro-mitigation,pro-mitigation,unclear
Support excise parity for Canadian craft distilleries,unclear,unclear,unclear,unclear
Include Australia's Already Disadvantaged in the COVID-19 Stimulus Supplement,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
CANCEL 2021 METRIC BOARD EXAM DUE TO THE WIDE SPREAD OF COVID 19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Make DUT shut down all campuses for an appropriate amount of time should COVID-19 worsen.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
SAVE FAIRLOP SAILING SCHOOL FROM CLOSURE,anti-mitigation,anti-mitigation,unclear,unclear
"Governor Kim Reynolds: Suspend Rent, Mortgage, & Utility Payments During This Crisis",unclear,pro-mitigation,unclear,unclear
Deny Mike Harris the Order of Ontario,unclear,pro-mitigation,pro-mitigation,unclear
"Help undocumented immigrants
during the COVID-19 crisis",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Governor Andy Beshear: Suspend Rent, Mortgage and Utility payments during the Corona Virus",unclear,pro-mitigation,pro-mitigation,unclear
Open Fitness Facilities Premier,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
"Petition for all 2020 parents to be granted $3,000 baby support grant",unclear,pro-mitigation,unclear,unclear
"Stop coronavirus - call for permanent ban on commercial wildlife breeding, markets & trade",pro-mitigation,pro-mitigation,pro-mitigation,unclear
Release COVID-19 Child Care Data in MA!,unclear,pro-mitigation,unclear,pro-mitigation
Shutdown the University of Waterloo campus temporarily due to COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Punëtorët informal duhet të përfitojnë nga paketat e ndihmës financiare COVID-19,unclear,pro-mitigation,unclear,unclear
Pay Petsmart employees Hazard pay due to COVID-19.,unclear,pro-mitigation,pro-mitigation,unclear
Hazard Pay for Fred Meyer Employees During the Outbreak of COVID-19,pro-mitigation,unclear,pro-mitigation,pro-mitigation
Allow Michigan Youth Soccer Players To Return To Play,anti-mitigation,anti-mitigation,unclear,anti-mitigation
Academic Freeze,unclear,unclear,unclear,unclear
Stop vigilante Covid-19 roadblocks,anti-mitigation,anti-mitigation,unclear,pro-mitigation
Canada Should Ban Flights from Europe due to COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Close NBPS after Spring Break due to the outbreak of COVID-19 in Broward county.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Close QASMT For 2 Weeks (COVID-19),pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Target: Protect your team and community as Covid-19 surges on.,pro-mitigation,unclear,pro-mitigation,pro-mitigation
Restrict Maximum Monthy BCHydro Charges During Covid-19 Outbreak,unclear,pro-mitigation,unclear,pro-mitigation
Ensure Sir Richard Branson sells private assets before being bailed out by the government.,unclear,unclear,unclear,unclear
Cancel Lucknow University Exams! Mass promotion of students is an option.,pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
Norwich University students to remain off-campus in response to COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
COVID-19: Change to The Leaving Cert 2020,unclear,pro-mitigation,unclear,unclear
Personal Protective Equipment (PPE) and COVID-19 Health Care for NYPD Officers,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Allow ski hills to operate during Ontario lockdown,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Stonewall Jackson Cemetery Name To Remain The Same,unclear,unclear,unclear,unclear
Bring the AFL grand final to Perth,unclear,anti-mitigation,anti-mitigation,unclear
