text,annotation_88,annotation_89,annotation_90,annotation_92
Stop tourism to the Isle of Wight during the Covid 19 outbreak,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
No profit on Covid-19!,unclear,unclear,unclear,pro-mitigation
Cancel rent payments for international students during Covid 19,pro-mitigation,unclear,unclear,pro-mitigation
Tuition and Fee Refund for Campus Services Not Provided Due to COVID-19,unclear,pro-mitigation,pro-mitigation,pro-mitigation
SE PODRÍAN HABER EVITADO LAS MUERTES POR COVID-19 EN TODO EL MUNDO,pro-mitigation,anti-mitigation,unclear,pro-mitigation
Make Regis University close its doors now.,unclear,unclear,pro-mitigation,pro-mitigation
Post Natal Massage Service as Essential Services,unclear,anti-mitigation,unclear,unclear
Cancellation of RTU Final Semester Examination,unclear,unclear,pro-mitigation,pro-mitigation
HPU MUST Allow Housing/Dining Refunds if COVID-19 Impacts Fall 2020 Semester,unclear,pro-mitigation,pro-mitigation,pro-mitigation
"20 per studio classroom, rather than 20 per premises - if deemed safe.",pro-mitigation,pro-mitigation,unclear,pro-mitigation
VicRoads refund rego and TAC charged during covid restrictions.,unclear,pro-mitigation,unclear,pro-mitigation
"Grant emergency Bond due to the global pandemic of COVID-19, for Qamar Williams / Q money",pro-mitigation,pro-mitigation,unclear,pro-mitigation
Create a Covid-19 relief package for informal waste pickers of Delhi,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Take proactive action to mitigate COVID19 in Ethiopia,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Stellenbosch University to Implement Online Examinations,pro-mitigation,unclear,pro-mitigation,pro-mitigation
No Schools Till Corona Ends...,unclear,anti-mitigation,unclear,pro-mitigation
Recreation Boating During Stay At Home,unclear,anti-mitigation,pro-mitigation,pro-mitigation
Chancellor Carranza - Don't Take Counselors Away From Students in the South Bronx,unclear,pro-mitigation,unclear,unclear
UK Legalisation & Taxation of Recreational Cannabis to help fund COVID-19 aftermath,unclear,pro-mitigation,unclear,pro-mitigation
COVID-19 - Free streaming services for quarantine,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Help stop the deportation of the Ferreira family during a global pandemic.,anti-mitigation,anti-mitigation,unclear,anti-mitigation
Make masks mandatory for public settings in the Region of Waterloo.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Pay Health Care Students On Placement,unclear,unclear,unclear,pro-mitigation
Support private nurseries through Covid-19,pro-mitigation,pro-mitigation,anti-mitigation,anti-mitigation
cancel school due to the water boil order and COVID 19,pro-mitigation,pro-mitigation,unclear,pro-mitigation
A Twin Crisis- Gentrification & Covid Destroying Black Business In Harlem,unclear,unclear,unclear,unclear
Extend the Winter Break at UFV,pro-mitigation,unclear,unclear,pro-mitigation
TAX RELIEF FOR NEW JERSEY RESTAURANTS & SMALL BUSINESSES FROM SHUTDOWN DURING COVID-19,unclear,pro-mitigation,unclear,pro-mitigation
Orange County Schools Must Follow CA State Guidelines For Re-Opening,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Cuomo and de Blasio Must Close all school buildings in NYC NOW!,pro-mitigation,unclear,unclear,pro-mitigation
Why final year exams shoudn't be Conducted #promote final year students,unclear,pro-mitigation,unclear,pro-mitigation
Offer Unconditional Citizenship to ALL non-British NHS Workers,unclear,unclear,unclear,unclear
We Must Ensure The Safety of Our Children,unclear,unclear,pro-mitigation,pro-mitigation
Riconosciamo alla Scuola il suo ruolo di tutela della Salute biopsicosociale,unclear,unclear,unclear,unclear
Yarra Valley should be classified as rural for Covid-19 restrictions purposes,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Suspend Rent & Mortgage in Connecticut during COVID-19,pro-mitigation,pro-mitigation,unclear,pro-mitigation
NYC TRANSIT WORKERS DESERVE HAZARD PAY,unclear,pro-mitigation,unclear,pro-mitigation
Covid-19 Safety for Dental Practitioners and Patients in Colorado,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Call for Peter Weir to resign,unclear,unclear,unclear,unclear
Temporarily Force Close Restaurants in the U​.​S to stop the spread of Covid-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Covid-19 Pandemic Unemployment Payment for Cross Border Workers,unclear,pro-mitigation,unclear,pro-mitigation
Seek Justice for Brutal Massacre of 5 Afro-Colombian Teenagers,unclear,unclear,unclear,unclear
Ban the Use of Tear Gas on Peaceful Civilians & Protestors,unclear,unclear,unclear,unclear
COVID-19 : Guarantee people's heat and power,unclear,pro-mitigation,pro-mitigation,pro-mitigation
Create a COVID-19 testing spot on South Campus,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Protest Against Covid Return Travellers at Tamworth NSW Australia,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Close Humber College (COVID-19 / Coronavirus),pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"The IRS Is Holding Thousands Of Falsely Flagged Tax Refunds, During Covid-19 Crisis!!!",unclear,unclear,unclear,unclear
Henry County Shelter in Place for Covid-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Schools to charge only 50% and No fees for lockdown period. Also No Vaccine No School.,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Boots to send all non essential staff home amid Covid-19 safety measures,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Reduce UCI Student Fees During Remote Instruction,unclear,pro-mitigation,unclear,pro-mitigation
Government packages and assistance for Music Fraternity in COVID 19 PANDEMIC.,unclear,pro-mitigation,anti-mitigation,pro-mitigation
Relief Funds for Freelance + Contracted Workers,unclear,unclear,unclear,pro-mitigation
Small Business COVID-19 Support,unclear,pro-mitigation,unclear,pro-mitigation
UW Admin create a one-credit class so international students can stay in the US,unclear,pro-mitigation,unclear,pro-mitigation
Distinction des cas de Covid-19 entre la Gaspésie et les Iles-de-la-Madeleine,unclear,unclear,unclear,unclear
Aprite le palestre di arrampicata,unclear,unclear,unclear,unclear
Stop TFL from removing free travel for under-18s,unclear,pro-mitigation,unclear,unclear
Reduce Canadian Deaths from Covid-19 and Support Canada with Social Distancing and Testing,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
誰ひとり取り残さない。新型コロナウイルスの影響に伴う収入減少に対し、この国に生きる全ての人に所得補償を!,unclear,pro-mitigation,pro-mitigation,unclear
Partial refund for 2nd semester fees from Kuwait private schools due to COVID19 closure,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Postpone Class of 2020 CBE Graduation Ceremonies,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Tell Doug Ford Critical care is not Elective care. Help our daughter to  get her surgery!,unclear,unclear,unclear,unclear
COVID-19 outbreak in Clinton County Detention Center,unclear,unclear,anti-mitigation,unclear
DEMAND NCSU to release a statement and action plan to support their international students,unclear,pro-mitigation,unclear,pro-mitigation
Resignation of Tedros Adhanom Ghebreyesus - The WHO Director General,unclear,anti-mitigation,unclear,anti-mitigation
Justin Trudeau: Do Not Test COVID immunizations on Indigenous Canadians!,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Set up makeshift crematoriums and designate more burial grounds for COVID victims’ dignity,unclear,anti-mitigation,unclear,pro-mitigation
Revoke retroactive fees,unclear,unclear,unclear,unclear
"Allow students to alter, delay or annul their tenancy agreements because of COVID-19",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Release Grace from Groves HS from Jail,unclear,unclear,unclear,unclear
We Want Justice! We Want Peace!,unclear,unclear,unclear,unclear
"Defy COVID 19: save zoo, stables, farm & stray animal war-refugees in Yemen",unclear,anti-mitigation,anti-mitigation,pro-mitigation
Close school campuses in Fremont Unified School District to avoid spreading COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Re-classify Fitness Centers as an Essential Business,unclear,anti-mitigation,anti-mitigation,unclear
"After serving 25 years , I can die from Covid-19, because I am still incarcerated.",unclear,anti-mitigation,unclear,anti-mitigation
Request To Make GMU Fall 2020 Classes Pass/Fail An Option Due to COVID-19,pro-mitigation,pro-mitigation,unclear,pro-mitigation
CT Students Go Back To School Without Masks or Social Distancing,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Allow individual water sport participants in South Africa to access the ocean.,unclear,anti-mitigation,unclear,unclear
Cut Carbon Emissions by 50% in 2030 and Reach ZERO emissions by 2050!,unclear,unclear,unclear,unclear
Demand CA EDD accountability for Unpaid unemployment claims due to Covid 19 measures.,anti-mitigation,anti-mitigation,unclear,unclear
Suspend in-person instruction at UC Merced to prevent exposure to COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
نطالب وزارة الاتصالات اللبنانية بزيادة سعة الإنترنت وسرعته وتخفيض الأسعار خلال أزمة كورونا,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Modify SIT's Exam and Grading Policy due to COVID-19,unclear,pro-mitigation,unclear,pro-mitigation
CLOSE DOWN ALL EDUCATIONAL INSTITUTIONS!,pro-mitigation,unclear,unclear,pro-mitigation
Request CWU To Make Online Classes/Finals Available Due to COVID-19 Deaths In WA State,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Ensure health workers have enough PPE during Covid-19 to remain safe,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
ECFMG Certification during COVID 19 Crisis,unclear,unclear,pro-mitigation,pro-mitigation
Help for Special Needs Family during COVID,unclear,pro-mitigation,pro-mitigation,pro-mitigation
Demand Louisiana Gov. Edwards take action to reduce the prison population during Covid-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Demand SF City Gov’t Responds To Homeless and Crime CRISIS,unclear,unclear,unclear,unclear
Stop ICE from sending international students out of the country!,pro-mitigation,pro-mitigation,pro-mitigation,unclear
Restore Youth Hockey,unclear,unclear,anti-mitigation,anti-mitigation
The Ghanaian-Canadian Association of Ontario needs your support!,unclear,unclear,unclear,unclear
Shut down FISD schools to prevent COVID-19 spreading,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Hazard pay for X-ray tech at St Mary’s Hospital,unclear,unclear,unclear,unclear
Declarar pandemia por parte de la OMS | Make official WHO pandemic status - Covid-19,unclear,anti-mitigation,unclear,pro-mitigation
UVM students demand partial tuition and housing reimbursement,unclear,unclear,unclear,unclear
Kids First! Let NM kids practice outdoors sports!,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Forgive Student Loans for Nurses working during COVID-19,unclear,pro-mitigation,unclear,pro-mitigation
WITHDRAW EIA DRAFT 2020,unclear,unclear,unclear,unclear
#COVID19 CHIEDIAMO CHE TUTTI RESPONSABILI SIANO GIUDICATI DA CORTE INTERNAZIONALE PENALE,pro-mitigation,anti-mitigation,unclear,pro-mitigation
Nintendo should release Animal Crossing: New Horizons early due to the coronavirus,unclear,anti-mitigation,unclear,pro-mitigation
COVID-19 Remembrance and Lessons Learned/COVID-19 Commémoration et Leçons Apprises,unclear,unclear,unclear,pro-mitigation
Close all daycares in British Columbia to stop the spread of COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Close UBC Campus to Prevent the Outbreak of COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Recruitment of Public health officers and public technicians for UHC and prevent COVID 19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Federal Student Loan Forgiveness for All,unclear,unclear,unclear,pro-mitigation
Free Ashley Diamond,unclear,unclear,unclear,unclear
Resignation of Jay Baker,unclear,anti-mitigation,unclear,unclear
Wake up Bihar ( COVID - 19),unclear,pro-mitigation,unclear,pro-mitigation
Demand NBC pull Trump Town Hall 10/15,unclear,pro-mitigation,unclear,unclear
Pennsylvania Schools to Void 3/4th Quarter Grading and Allow All Student to Pass 2019/2020,unclear,pro-mitigation,unclear,pro-mitigation
Revise Francis Parker School's Covid-19 Teacher Policies,unclear,pro-mitigation,unclear,pro-mitigation
Shut Down Illinois Due to the Public Health Threat of Covid-19,pro-mitigation,pro-mitigation,anti-mitigation,pro-mitigation
Cancellation of medical exams covid-19,anti-mitigation,pro-mitigation,anti-mitigation,anti-mitigation
#ShutDownMASS to minimize the spread of coronavirus,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
The University of Michigan community needs a better testing plan,,pro-mitigation,pro-mitigation,pro-mitigation
Hold Trump Accountable For Misleading Of Covid-19,pro-mitigation,anti-mitigation,unclear,pro-mitigation
Keep Austin Building Safely During Covid-19 Shelter In Place Order,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Insurance Companies deny therapy to children for PT/OT/ST during global COVID-19 pandemic.,pro-mitigation,anti-mitigation,anti-mitigation,unclear
Recognize and Demarcate Orthodontic Procedures Separately from Other Dental Procedures,unclear,unclear,unclear,unclear
Close BC Schools to slow the spread of COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Postpone/Cancel the AP Inter-board exams.,unclear,pro-mitigation,pro-mitigation,pro-mitigation
Save EasyJet jobs.,unclear,unclear,unclear,unclear
Poor street dog raped by strangers during Covid -19 Lockdown,unclear,anti-mitigation,unclear,anti-mitigation
Save Manchester's historic Belle Vue Stadium,unclear,unclear,unclear,unclear
Fermiamo il calcio! [ITA-ENG] ~Covid-19,unclear,unclear,pro-mitigation,pro-mitigation
Expand Screening to Stop Covid-19 from Becoming an Epidemic,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Teachers For Good Trouble - Stop Standardized Testing During COVID-19 Pandemic,pro-mitigation,pro-mitigation,anti-mitigation,pro-mitigation
Stop pig slaughterhouse at Ballymoney NI; save pigs and local community from proposed hell,unclear,unclear,unclear,unclear
Help the 99% Recover from COVID-19 Crisis,unclear,pro-mitigation,pro-mitigation,pro-mitigation
"Coordinación supranacional ante el COVID-19
Supranational coordination against COVID-19",pro-mitigation,pro-mitigation,unclear,pro-mitigation
Suspend Rent and Mortgage payments in California during COVID-19,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Postponement and/or cancellation of all examinations in light of the COVID-19 Pandemic.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Engage for a better world after COVID-19 (#Engage4Better),unclear,pro-mitigation,unclear,pro-mitigation
Release low risk delaware prisoners due to covid-19 outbreak,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Artists, Creators, Tattooists, Musicians and Sole Traders need your help!",unclear,unclear,unclear,unclear
Halt the planned cuts to West Sussex Children and Family Centres,unclear,unclear,unclear,unclear
Revoke CEWS funding from anti-choice and hate groups,pro-mitigation,pro-mitigation,unclear,anti-mitigation
2020 Graduation after COVID-19,pro-mitigation,unclear,pro-mitigation,pro-mitigation
Petition for a public enquiry into unlawful Dáil procedure regarding covid 19 legislation.,unclear,anti-mitigation,anti-mitigation,anti-mitigation
Please change BC COVID 19 testing measures ASAP,unclear,pro-mitigation,unclear,pro-mitigation
Government of British Columbia: Do not single out hairstylists in phase two.*,unclear,pro-mitigation,unclear,unclear
No school for all Allen ISD during the Coronavirus (COVID-19) Outbreak,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Exempt the non-EU students from paying the tuition fee of SS due to the Covid - 19 crisis.,pro-mitigation,pro-mitigation,unclear,pro-mitigation
40% to 50% REDUCTION IN TUTION FEES,unclear,unclear,unclear,unclear
BCIT STUDENT’S REFUND DUE THE COVID-19,unclear,pro-mitigation,unclear,pro-mitigation
Appeal for Urgent Action on the Attacks Against the CPA and its Leaders,pro-mitigation,anti-mitigation,unclear,unclear
#saveProjectSPELL,unclear,pro-mitigation,unclear,unclear
Abolish quarantine rule to enter Sarawak #malaysiaformalaysians,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
SUPPORT CARE HOMES DURING COVID-19 & AFTER,unclear,pro-mitigation,pro-mitigation,pro-mitigation
Exclude kids from the ‘rule of 6’ law in England.,unclear,anti-mitigation,unclear,unclear
#NUStopOnlineClassesNow #WalangIwananNationalian,unclear,anti-mitigation,unclear,pro-mitigation
Hazard Pay for Lassens employees during COVID-19 Outbreak,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Tell Emory University to stop torturing nonhuman primates!,unclear,unclear,unclear,unclear
Let foreign doctors help us fight COVID-19!,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Allow Parents the option to keep children off school during covid 19 crisis,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
CANCEL ICSE BOARD EXAMS 2021 DUE TO COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
MAKAUT need to close WB colleges due to effect of COVID-19.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
UNISA STUDENTS DEMANDING THE REMOVAL OF THE LAST MINUTE IMPLEMENTATION OF THE IRIS SYSTEM!,unclear,anti-mitigation,unclear,unclear
"Change Diet, Save Lives",unclear,unclear,unclear,unclear
Urgent Government Support For The Hospitality Industry,unclear,unclear,unclear,pro-mitigation
"支持將「中華航空」正名為「台灣航空」Call for Petition of Rectifying “China Airlines” with “Taiwan Airlines""",unclear,unclear,unclear,unclear
Hazard Compensation For Covid-19 Pandemic,unclear,pro-mitigation,unclear,pro-mitigation
Urgent Strict Measures to Counter Coronavirus Spread and Increase Public Education,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Google: Include the entire Caribbean in YouTube's Partner Program,unclear,unclear,unclear,unclear
Testing for COVID 19 in NHS medical professionals showing signs and symptoms,pro-mitigation,unclear,pro-mitigation,pro-mitigation
Close the CUNY Hunter College campus due the spread of COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Allow Visitors for MA Patients During Covid-19,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
S​.​E​.​N Schools to shut in the UK amid Covid 19 outbreak,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"For Immediate Resignations: Michael Rembis, Debbie Walsh, Gary Kienbaum and Lisa Paulson.",unclear,anti-mitigation,unclear,pro-mitigation
Start Community Testing: COVID-19 NEPAL,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Make sure all staff in hospital have face masks,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Grant Diploma Privilege for 2020 Texas Law School Graduates,unclear,unclear,unclear,unclear
Mental Health Stability Amongst Student Body,unclear,unclear,unclear,unclear
PROTECT INCARCERATED COMMUNITIES FROM COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Keep COVID-19 Arrestees Out of Waiʻanae,anti-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
HAZARD PAY FOR TRANSIT WORKERS,unclear,pro-mitigation,unclear,pro-mitigation
An Immediate Decrease in UArts Tuition for 2020-2021,unclear,unclear,unclear,pro-mitigation
Implement COVID-19 Precautionary Measures,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Close the PA border to people who live out of state.,pro-mitigation,unclear,pro-mitigation,pro-mitigation
#JusticeforShoni: fix Thembisa Hospital and save lives,unclear,unclear,pro-mitigation,pro-mitigation
Immediate Aid Package for San Francisco SMBs (Small and Medium Businesses),unclear,pro-mitigation,unclear,unclear
"Under attack at NYU, Mark Crispin Miller needs your support for academic freedom",pro-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Allow PAYE freelancers to receive the UK government's COVID-19 self employed grant,pro-mitigation,pro-mitigation,unclear,pro-mitigation
AN ACCESSIBLE WASHROOM for DISABLED FANS--Toronto Maple Leafs and Raptors,unclear,unclear,unclear,unclear
Release community custody inmates with 6 months or less on supervision due to COVID-19,anti-mitigation,pro-mitigation,anti-mitigation,pro-mitigation
Support UNPAID Student Nurses helping to fight Covid-19 Pandemic,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Refund UIC Students for Tuition Costs,unclear,pro-mitigation,unclear,pro-mitigation
Close Pratt Institute-Main Campus due to COVID-19 Death in NYC,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Kitas & Schulen verlässlich öffnen: Bundesweite Bildungs- & Betreuungsgarantie 2021,anti-mitigation,pro-mitigation,anti-mitigation,unclear
Exception for Drive-In Movie Theatres during Covid-19 restrictions.,unclear,anti-mitigation,anti-mitigation,pro-mitigation
Il vaccino antinfluenzale ha aumentato i rischi da COVID-19?,unclear,pro-mitigation,unclear,unclear
Save Rose of Sharon Korean LTC from for-profit Rykka,unclear,unclear,unclear,unclear
CAIE should allow Students of Pakistan for Teacher Assessemnt like UK for O/A Level 2021,unclear,unclear,unclear,unclear
Lower University of New Mexico Fall 2020 Tuition,unclear,unclear,pro-mitigation,unclear
Demanding a Student-Centered Response from SUA to the COVID-19 Epidemic,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Citizens should be allowed to leave Australia without requiring permission.,anti-mitigation,unclear,anti-mitigation,anti-mitigation
Grant of RESIDENCE AMNESTY FOR ALL MIGRANT WORKERS CURRENTLY IN NZ.,unclear,unclear,unclear,pro-mitigation
Private daycare/schools to credit/refund parents for service not rendered due to covid-19,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Separate Muskoka From Simcoe For Covid Response Regions,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Minimum 3​.​1% Pay Rise to NHS workers.,pro-mitigation,unclear,unclear,unclear
Equal Government Support for Newly Self Employed - Covid 19,unclear,pro-mitigation,unclear,pro-mitigation
Allow a nominated family member to enter care homes during a lockdown the same as staff do,anti-mitigation,pro-mitigation,unclear,anti-mitigation
Retain contract pharmacists in Ministry of Health (MOH)!,unclear,pro-mitigation,unclear,unclear
Bengaluru Green Cover reduced from 70% to 3%.   SAVE Bengaluru's TREES!   STOP ECOCIDE!,unclear,unclear,unclear,unclear
"Dear PIAA, Please Do Not Terminate Our Sports Seasons!",anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Expand Unemployment Insurance Eligibility for Education Support Professionals,unclear,unclear,unclear,pro-mitigation
To include Traditional and Complementary Medicine (T&CM) as essential service,unclear,pro-mitigation,unclear,pro-mitigation
Reduce the cost of paying for online education in Cyprus (during the COVID-19 quarantine),pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
WIRED not Wireless; NO HOTSPOTS or Antennas added to CA Schools during COVID-19,unclear,anti-mitigation,unclear,unclear
"Governor Greg Abbott: Suspend Rent, Mortgage, & Utility Payments During Covid-19 crisis",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Open Rhode Island & End All Executive Orders May 9th.,unclear,anti-mitigation,anti-mitigation,anti-mitigation
Postpone Oklahoma State University Spring 2020 Commencement,unclear,pro-mitigation,pro-mitigation,pro-mitigation
"Save Our Studios.
Reclassify dance studios in the California Covid re-opening strategy.",pro-mitigation,unclear,unclear,unclear
RRISD Students Request Covid Safe Traditional Graduation Ceremony,pro-mitigation,pro-mitigation,anti-mitigation,pro-mitigation
Suspend rent and mortgage payments during Covid 19 pandemic South Africa,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Locals Only Recreation Initiative for Placer and Nevada Counties,unclear,pro-mitigation,anti-mitigation,anti-mitigation
Directors to be equally helped Just as self employed have been.,unclear,pro-mitigation,unclear,unclear
Allow Nursing Students to graduate despite clinical hours,unclear,pro-mitigation,unclear,unclear
Pass the bill to prohibit child marriage in the Philippines. #ENDChildMarriage,unclear,unclear,unclear,unclear
Petition for MIT Administration to Take Action against On-Campus Spread of COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Change the inhuman Care Home Covid visiting restrictions,anti-mitigation,anti-mitigation,unclear,anti-mitigation
Support Cheerleaders and Dance in 2021,unclear,anti-mitigation,anti-mitigation,unclear
Financial compensation(hazard pay) for essential workers during covid-19,unclear,pro-mitigation,pro-mitigation,pro-mitigation
Save Gymnastics Clubs in Ontario!,unclear,unclear,pro-mitigation,unclear
#cancelboardexams,unclear,unclear,unclear,pro-mitigation
Ask Gov. DeSantis to Stop the unfair treatment of Vacation Rentals!,unclear,unclear,unclear,unclear
Place a moratorium on 1080 poisoned food drops & divert funds to save lives from COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
American Airlines Should Waive ALL  Change/Cancellation Fees Amidst COVID-19 Outbreak!,pro-mitigation,pro-mitigation,unclear,pro-mitigation
To Stop COVID-19: Contact Trace and Test!,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
HELP IRANIANS TO RECEIVE MEDICAL SUPPLIES TO FIGHT COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Get Covid-19 Vaccines for Doctors,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Allow F-1 and M-1 students with valid visas to stay in the United States,unclear,pro-mitigation,unclear,unclear
"Northern and southern European countries solidarity, opinions of non-political citizens",unclear,anti-mitigation,unclear,unclear
Cancel 2021 CBSE Board exams due to COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Canadian Federal Government: Give More Support to Canadian Airlines and their Employees,unclear,unclear,unclear,unclear
