text,annotation_70,annotation_72,annotation_47,annotation_80,annotation_79
Ban face to face teaching at City of Glasgow College with immediate effect - COVID-19,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
SUPPORT FOR SME WORKING DIRECTORS UNDER JOBS SUPPORT SCHEME (JSS),unclear,unclear,,unclear,unclear
COVID-19 Small Business economic hardship,unclear,unclear,,unclear,unclear
Reopen The Spotlight Theatre ASAP,anti-mitigation,anti-mitigation,,anti-mitigation,anti-mitigation
Remove mandated bulk-billing from COVID-19 telehealth item numbers.,pro-mitigation,pro-mitigation,unclear,unclear,
Open Up Private Recreational Motorcycle & ATV Areas In NY,anti-mitigation,anti-mitigation,,anti-mitigation,anti-mitigation
Stop Covid-19 Related Dismissals at Glasgow Colleges,unclear,anti-mitigation,,pro-mitigation,anti-mitigation
Proposal to Make Alberta's Diploma Examinations Voluntary,pro-mitigation,pro-mitigation,,unclear,unclear
"ICMR JRF 2020 ,DBT BET JRF 2020 and GATB 2020 got postponed now",unclear,pro-mitigation,pro-mitigation,unclear,
Stop the RHS Bridgewater from further culling of roe deer at their site,unclear,unclear,,unclear,unclear
Joe Biden's Candidacy is Failing - We Demand a Stronger Nominee. Democrats: Act Now.,unclear,unclear,,unclear,unclear
Close All Wildlife Trading Markets Globally,unclear,unclear,,pro-mitigation,pro-mitigation
Lift Restrictions for New Brunswickers Travelling to Nova Scotia,anti-mitigation,anti-mitigation,,anti-mitigation,anti-mitigation
We Demand Free Internet for ALL Low-Income Families During COVID-19,unclear,unclear,,pro-mitigation,unclear
A Campaign to Protect Dover Forest!,unclear,unclear,,unclear,unclear
Signez la lettre pour le retrait de la proposition de loi sur un ordre des psychologues,unclear,unclear,,unclear,unclear
URGENT CALL - Release Julian Assange from Belmarsh NOW!,unclear,unclear,,unclear,unclear
Amend order to allow JCPD officers to wear BDU's during PANDEMIC!,unclear,pro-mitigation,,pro-mitigation,unclear
Play Fair - Let Live Music Live,anti-mitigation,anti-mitigation,,unclear,anti-mitigation
Make Covid duty for final MBBS students voluntary,anti-mitigation,anti-mitigation,,anti-mitigation,unclear
Bring back Division III National Championships,anti-mitigation,anti-mitigation,,unclear,anti-mitigation
Lockdown Pakistan to Prevent COVID-19 Transmission,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Cancel all further assignments and exams due to instability caused by COVID-19,unclear,pro-mitigation,,pro-mitigation,pro-mitigation
Get Washington county closed because of Covid-19,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Please help the residents of Guildwood Extendicare during Covid Crisis,unclear,unclear,,pro-mitigation,unclear
Take back the decision to end the relationship with the Chinese scholars who fund by CSC,unclear,unclear,,unclear,unclear
Stop Transport Canada rescinding covid response that allows you to stay in your vehicle,pro-mitigation,pro-mitigation,,pro-mitigation,anti-mitigation
Take Action to End Canada's Blood Donation Ban,unclear,anti-mitigation,,unclear,anti-mitigation
COVID-19：Request For MPCSD to Close Schools for the Safety of our Community and Children,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
"Stop Con Edison from potentially spreading Covid-19 to its workers, and the NYC public!",pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
We study in online mode we want online Semester examination for every university students,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Enforce State and Local COVID-19 Rules in all California State Employee Workplaces,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
We want the Human rights commission to lay charges of racism against Russell Kruger.,unclear,unclear,,unclear,unclear
Close CCPS schools to limit spread of coronavirus.,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Keep X-rays for Chiropractors for the health benefit of future patients.,unclear,unclear,,unclear,unclear
Change UAlberta Classes from in person to Online due to COVID-19,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Animal Charities including Wildlife Rescues deserve government support during Covid-19,unclear,unclear,,pro-mitigation,pro-mitigation
Stop the relocation of a Sexually Violent Predator to Twentynine Palms!,unclear,unclear,,unclear,unclear
Cancel Rent Payments in Finland for International Students during Covid-19.,unclear,unclear,,pro-mitigation,pro-mitigation
Demand California Delay Implementing Cuts to Pharmacies During COVID-19 Pandemic,unclear,pro-mitigation,,pro-mitigation,unclear
Hunts and shoots should not be exempt from 6 person rule + Covid-19 restrictions,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
APPEAL COVID-19/ BEAUTY INDUSTRY,unclear,unclear,,anti-mitigation,anti-mitigation
Mississippi State University students want the option for classes to be Pass/Fail,unclear,unclear,,unclear,unclear
Tertiary Students of JA Appeal to Reduce Tuition 15-20% & Refund Miscellaneous/ Late Fees.,unclear,unclear,,unclear,unclear
AMPLIACION DE LA BECA CONTINUIDAD DE ESTUDIOS I - II Convocatoria. BECA PRONABEC,unclear,unclear,,unclear,unclear
Petition Sokongan kepada Ketua Pengarah KKM Datuk Dr. Noor Hisham Bin Abdullah,unclear,unclear,,unclear,unclear
Allow EBT recipients to order groceries online during COVID-19 pandemic and beyond.,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Cancel Alberta Diploma Examinations,pro-mitigation,pro-mitigation,,unclear,anti-mitigation
The beauty industry - financial support & operational clarity from government & insurers,unclear,unclear,,unclear,unclear
Potential treatment for COVID-19 should not harm Canadians living with lupus,unclear,anti-mitigation,,unclear,pro-mitigation
Save Akron's Last Major Greenspace!,unclear,unclear,,unclear,unclear
Allow Donna Kay Rule to compete in the NFR!,unclear,anti-mitigation,anti-mitigation,unclear,
Stop classes and encourage online classes to reduce spread of COVID-19 in uniten,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Hazard Pay for Wal-Mart Associates,unclear,unclear,,pro-mitigation,unclear
Demand FDA Approval for Emergency Use of Ivermectin for Covid 19 Treatment,pro-mitigation,unclear,,pro-mitigation,pro-mitigation
NO TO THE DISPLACEMENT OF MARIACHIS AT MARIACHI PLAZA IN BOYLE HEIGHTS!,unclear,unclear,,unclear,anti-mitigation
Provide financial support for ALL Sole Traders in Victoria,unclear,unclear,,pro-mitigation,unclear
Allow medical schools to proctor board exams to combat scheduling issues due to COVID-19.,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Let babies travel on their mother's passport into South Africa for Medical Emergencies,unclear,unclear,,unclear,pro-mitigation
Pembroke Pines utilities cost increase during COVID-19,anti-mitigation,unclear,unclear,unclear,
"Give Children and Families Access to Beaches, Parks and Trails in Hawaii",anti-mitigation,anti-mitigation,,anti-mitigation,anti-mitigation
"Save Donderberg , Sauvons l'espace vert du Donderberg à Laeken , Red Donderberg",unclear,unclear,,unclear,unclear
COVID Transparency at BYU,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Postpone JEE & NEET to the end of 2020,pro-mitigation,pro-mitigation,,pro-mitigation,unclear
Save my dad from ICE's virus-ridden detention centers,pro-mitigation,unclear,,unclear,anti-mitigation
India needs to change its stance on mental health,unclear,unclear,,unclear,unclear
"No School Re-Opening, Protect Our Children",pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
"Covid-19 Minnesota families rent,mortgages, utilities,and monthly Bill's or hardships!",unclear,unclear,,unclear,unclear
Varsity College must decrease their school fees by 35% because of the COVID 19 pandemic,unclear,unclear,,pro-mitigation,unclear
Car Dealerships are Non-Essential During COVID-19 and should be be closed!,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Hazard Pay For The Front Line,pro-mitigation,unclear,,unclear,pro-mitigation
UAH: Extend a Pass/Fail Option Due to COVID-19,unclear,unclear,,pro-mitigation,pro-mitigation
Maharashtra CM : Make an announcement in Reduction & Deferment of School Fees !,unclear,unclear,,pro-mitigation,unclear
To allow the children of a covid victim to remain in their home.,pro-mitigation,pro-mitigation,,anti-mitigation,pro-mitigation
Help convince the SUSD that Students & Teachers Need Leniency in Grading during COVID-19.,unclear,unclear,,pro-mitigation,unclear
"Glasgow Life, Reconsider Library Closures",anti-mitigation,anti-mitigation,,anti-mitigation,pro-mitigation
Get Classes Moved To Online Due to Corona Virus (Covid-19),pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Release my mother due to COVID-19,unclear,unclear,,anti-mitigation,unclear
"Allow venues, stadia, and hotels with Covid Controls in place to operate at capacity",anti-mitigation,anti-mitigation,,pro-mitigation,anti-mitigation
Stop insurance providers from rejecting doctor-recommended cancer treatment.,unclear,unclear,,unclear,unclear
"Let's get back golfing, rowing, playing tennis and picnicking again Ontario.",anti-mitigation,anti-mitigation,,anti-mitigation,anti-mitigation
Fast food restaurants to print vehicle reg on takeaway packaging to discourage littering.,unclear,pro-mitigation,,unclear,unclear
LOVE IS NOT TOURISM,unclear,unclear,,pro-mitigation,unclear
#ProtectLibraryWorkers & communities: Don't reopen libraries until it's safe,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Darden : Financial Relief for COVID-19,unclear,unclear,,pro-mitigation,unclear
Close Pepperdine due to the Covid-19 Case in California,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Keep NM Garden Nurseries Open,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation,
Stipend increment of Resident doctors who are working tirelessly to fight COVID19 PANDEMIC,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Please help saving the life of my Father Kidnapped Dr Abbadi in Jordan,unclear,unclear,,unclear,unclear
Hold the Chinese government accountable for COVID-19,unclear,unclear,,pro-mitigation,pro-mitigation
Suspend school/college session until 2021,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Keep our children safe and close the schools,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Ensure Safe Watersports Access to Florida's Waterways during COVID-19 Pandemic,anti-mitigation,anti-mitigation,,pro-mitigation,anti-mitigation
Powerful action against climate change by the governments,unclear,unclear,,unclear,unclear
Continue Paying Northeastern Dining Hall Employees for the Next 30 Days,unclear,unclear,,pro-mitigation,pro-mitigation
Australian Healthcare Workers demand safe Personal Protective Equipment for COVID-19,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Force private nurseries to charge REDUCED fees during COVID-19 crisis,unclear,unclear,,pro-mitigation,unclear
South Dakota High School Pass or Fail students -COVID-19,pro-mitigation,unclear,,unclear,unclear
Save Maryland Restaurants,unclear,anti-mitigation,anti-mitigation,unclear,
Re-Open Motocross Tracks Responsibly,anti-mitigation,anti-mitigation,,unclear,anti-mitigation
Procurement of Covid-19 cure from Madagascar by the South African government.,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Federal financial relief for restaurant industry — covid-19 pandemic,unclear,unclear,,pro-mitigation,unclear
Close Petsmart Services in response to Covid-19 state of emergency,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Venues should cancel South Padre Island Spring Break events to prevent COVID-19 exposure.,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
United Against COVID-19,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
I want people who are working during the Covid-19 pandemic to receive hazard pay.,unclear,pro-mitigation,,pro-mitigation,pro-mitigation
Strongly Urge All Schools Closure in Edmonton for COVID-19,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
COVID-19 Requesting early release for Georgia work release program residents,pro-mitigation,pro-mitigation,,unclear,anti-mitigation
Re-Open US Consulates for General Visa Appointments (Allowing Foreign Nationals to Travel),anti-mitigation,anti-mitigation,,anti-mitigation,anti-mitigation
Close shopping malls  IMMEDIATELY to prevent the spread of COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation,
I want the Covid Testing to be at an affordable price for ALL,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
UAW Local 2192 calls for covid-19 health and safety actions by Oberlin College,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Allow 2020 Spring Sports to Continue Through the Summer,anti-mitigation,anti-mitigation,,anti-mitigation,anti-mitigation
Postpone graduation!!!!!! DO NOT make it virtual,unclear,unclear,anti-mitigation,unclear,
Stop Stephanie Alley from Potentially spreading the Coronavirus (CoVid 19 Virus),pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation,
"Every penny counts- In case of death due to Covid, beneficiary to be granted tax exemption",unclear,unclear,,pro-mitigation,unclear
Petition AGAINST Del Mar College School of Nursing Holding Back Graduates Due to COVID-19,anti-mitigation,anti-mitigation,,unclear,pro-mitigation
"Student Loan Forgiveness for ""Covid-19"" Frontline Workers",unclear,unclear,,pro-mitigation,unclear
Make UKZN shut down all campuses for an appropriate amount of time should COVID-19 worsen.,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
change school district grades from numerical to pass fail for 4th quarter due to covid,unclear,unclear,,pro-mitigation,unclear
Hazard Pay For Transit Workers During Covid 10,unclear,unclear,,pro-mitigation,pro-mitigation
Stand with Heine Brothers' Baristas during COVID-19 Outbreak: Give them the Choice!,unclear,anti-mitigation,,anti-mitigation,unclear
Creat isolation hotel centers for COVID-19 self-isolation confirms,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
"Stop the barbaric wolf cull & poisoning in NWT, BC and AB",unclear,unclear,,unclear,unclear
Extend JobKeeper For The Travel Industry Beyond March 28,unclear,unclear,,pro-mitigation,unclear
Hazard Pay for COVID-19 Essential RI Workers,unclear,pro-mitigation,,pro-mitigation,pro-mitigation
PM Modi: Tell Indian Men to Do an Equal Share of Household Chores in Your Next Speech,unclear,unclear,,unclear,unclear
CONTRA LOS DESPIDOS EN ORANGE. ERE NO.,unclear,unclear,,unclear,unclear
Coronavirus Europe - Let Google Vendor employees to work from home like Google employees,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Opt-In and Implement AB 626 in Orange County,unclear,unclear,,unclear,pro-mitigation
Chandler Unified School District must close schools until Covid-19 no longer is a threat,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
We want the COVID-19 Language Access Act!,pro-mitigation,unclear,,pro-mitigation,pro-mitigation
Partial Reimbursement for University of Connecticut Spring 2020 Semester,pro-mitigation,unclear,,unclear,unclear
Free 3 school teachers held in Italian covid centre for 2months. #FF3,unclear,anti-mitigation,,anti-mitigation,anti-mitigation
Support for Farm Transitions and Sustainable Agricultural Practices,unclear,unclear,,unclear,unclear
Demand that Micro-Businesses be priority to financial assistance for US COVID-19 relief!,pro-mitigation,unclear,,pro-mitigation,unclear
Support Safe Schools for Saskatchewan,unclear,pro-mitigation,,pro-mitigation,pro-mitigation
An Arts Sector-specific Rescue Package to Survive COVID-19 #HeartsForArts2020,unclear,unclear,,pro-mitigation,anti-mitigation
Stop violence against doctors,unclear,unclear,,pro-mitigation,pro-mitigation
Luxury Escapes to Honour Refund Policy Amidst COVID-19 Pandemic,pro-mitigation,unclear,,anti-mitigation,pro-mitigation
Esami a distanza garantiti al Politecnico di Milano,unclear,unclear,,pro-mitigation,unclear
Bring Thunder Bay District Out Of Lockdown and back into colour code system,anti-mitigation,anti-mitigation,,anti-mitigation,anti-mitigation
Make Swiggy accessible with screen readers in Android for Visually Challenged People,unclear,unclear,,unclear,unclear
Help change FL mandated clinical requirements for Nursing students in light of COVID-19,unclear,unclear,,pro-mitigation,pro-mitigation
PETITION AGAINST PROPOSED CORONATION DRIVE WASTE PROCESSING PLANT,unclear,unclear,unclear,unclear,
Shutdown Imperial county schools,pro-mitigation,pro-mitigation,unclear,pro-mitigation,
Test Kits for CoVid-19 in Every City in the USA,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Raise Awareness to Defeat COVID-19,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Mary Seacole is now recognised as a  COVID-19  hospital in England,pro-mitigation,pro-mitigation,,pro-mitigation,unclear
DONIAMO VENTILATORI POLMONARI AGLI OSPEDALI ITALIANI PUBBLICI,unclear,unclear,,pro-mitigation,unclear
Housing for Healthcare Workers exposed to COVID-19,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Student loan forgiveness for those working the front-lines of the COVID-19 pandemic,unclear,unclear,,pro-mitigation,pro-mitigation
Luton mayor and councillors in breach of lockdown rules to resign,pro-mitigation,pro-mitigation,pro-mitigation,unclear,
"Disinfect the streets, lobbies, transportation and stores everyday",pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
In response to Okan University New payment schedule,unclear,unclear,,unclear,unclear
Save 220k Massage Therapist's Careers  Covid-19 Licensed Health Care Economic Hardship,unclear,unclear,,pro-mitigation,unclear
Extend COVID-19 Emergency Benefits / Prolonger les prestations d'urgence pour la COVID-19,unclear,pro-mitigation,,pro-mitigation,pro-mitigation
Justice for Benny Davis,unclear,unclear,,unclear,unclear
Demilitarize Walnut Creek Police Response!,unclear,unclear,,unclear,unclear
"Rockford, IL Police Chief Daniel G. O’Shea Must Be Fired",unclear,unclear,,unclear,unclear
URGENT! Irish Government Enact Vegan Law! to Stop COVID-19 & Stop Climate Change!,pro-mitigation,unclear,,pro-mitigation,unclear
"""COVID-19 Relief"" for our incarcerated loved ones & DE DOC!",pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
NO on SB20-163,pro-mitigation,anti-mitigation,,anti-mitigation,anti-mitigation
Keep the test,unclear,anti-mitigation,,unclear,unclear
"Name MUN's New Core Science Building the ""J. Fitzgerald Building""",unclear,unclear,,unclear,unclear
Smoking Covid,unclear,unclear,,unclear,unclear
"Halt Rent, Mortgage, and Utility Payments During COVID-19 Outbreak",unclear,unclear,,pro-mitigation,unclear
#Don'tForgetStudents | #N'OubliezPaslesÉtudiants,unclear,unclear,,unclear,unclear
Help the St. John’s University bowling team go to sectionals!,anti-mitigation,unclear,,unclear,anti-mitigation
