text,annotation_34,annotation_5,annotation_20,annotation_4
Businesses could mandate employees who are unvaccinated have to wear a mask and those who are vaccinated don't have too.,pro-mitigation,unclear,anti-mitigation,pro-mitigation
"I think an uptick in cases is likely in the fall, just like there was last year. 

But the vaccination rate in my state is 70%; if cases start ticking up significantly here, that means that breakthrough cases are really becoming an issue. If that happens, then I'll absolutely starting masking again. Until that happens? I'm good.",anti-mitigation,pro-mitigation,pro-mitigation,unclear
Just saw Dr. Fauci on MSNBC. He’s sticking with the CDC guidance. That’s good enough for me.,unclear,unclear,pro-mitigation,pro-mitigation
"We have demonstrated that we as a culture cannot defer gratification to save lives Yet, we expect college students to follow unenforceable protocols established by out of touch administrators.",unclear,unclear,unclear,unclear
Nope. The time for general mask usage has passed. The “Immunocompromised” are set to rejoin society with the same issue they once had before this set in:  the reality that their life situation requires that they take additional steps to ensure their own safety.,anti-mitigation,unclear,anti-mitigation,anti-mitigation
"Given that one of the major risk factors for Covid is obesity, I'd sooner see an exercise mandate than the return of masks.",anti-mitigation,anti-mitigation,unclear,anti-mitigation
"It is not only inappropriate to call companies that require vaccination ""Big Brother,"" Orwell's name for the government, but this headline and article encourage anti-vaxxers. 
Companies not only have a right to demand that workers, with few exceptions, be vaccinated, they have a responsibility to do this to make their workplaces safe, and in some cases keep customers and others safe. 
I am very disappointed to see the times publish this article.",pro-mitigation,unclear,pro-mitigation,pro-mitigation
"I once had to do a company survey to comply with some federal regulations.  It was critical that we get a high response rate.

We came up with a little encouragement - those departments that had a 95% repsonse or higher would be part of a raffle to win a significant money prize.  The final result?  The response was 99% overall.

Companys like United could do the same.  Raffle off some large money prizes for those who get vaccinated.  (High level management should be excluded.)  Only a few will win, but having the chance to win something big can be a significant motivator.",pro-mitigation,pro-mitigation,pro-mitigation,unclear
the american people will nor respond well or rationally to having to act like adults again.,unclear,unclear,unclear,unclear
Corridor-19:was listed on the menu under take out.,unclear,unclear,unclear,unclear
Good luck with that.,unclear,unclear,unclear,unclear
"What is the mystery? The country is not fully open, not back to normal. People ""studying"" these things seem overpaid, IMO.",unclear,unclear,unclear,unclear
Big brother ?  No.    As an employer I have an moral obligation to take all steps to best ensure the safety and health of my employees.   That would include  a requirement that all my employees get a Covid 19 vaccination.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"I DON'T UNDERSTAND! the hesitancy of employers mandating COVID vaccinations if they are working with the public or around other employees. 

Non-vaccinated employees should be separated from the public and other employees either physically or required to wear a Mask.

That's what our local hospital does. If an employee doesn't want to get the Flu shot for whatever reason, they must be Masked at work. PERIOD!",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
The issue is more complex for employers with public facing employees. If United Airlines mandates vaccination of its employees and passengers I will chose it over an airline that doesn't.,pro-mitigation,anti-mitigation,anti-mitigation,pro-mitigation
The girl is that photo is stunning.  Hope she’s got her vaccine!,pro-mitigation,pro-mitigation,unclear,pro-mitigation
"After the fear mongering of the first 85% of the article, the last 15% tells me what I need to know: as a vaccinated person, I’m unlikely to catch Delta, and if I do it will almost surely be asymptomatic. So the threat lies with the unvaccinated. 

Works for me. They should get vaccinated. I did, and I am done with this nonsense.",anti-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"More accurate headline:

The Nation Forgot How to Cook and Now Regrets It",unclear,unclear,unclear,unclear
In hospitals we have been mandated to get flu vaccines for decades. We've been mandated to get the Covid vaccine this year. It's no big deal. Be an adult and get the vaccine (and I fully expect children to be more 'adult' about this than many adults!).,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"The government should not be allowed to forcibly prevent American's from earning a livelihood if it is not willing to compensate them, period.

I'm sorry if this sounds cruel, but I shouldn't have to bleed my life savings to keep your great grandmother safe.",anti-mitigation,unclear,anti-mitigation,unclear
I am all for individual liberty but to those who invoke it and then take advantage of the benefits brought by those who have acted for the common good it’s nothing more than selfishness. Would you prefer that we had all followed your misguided lead so we could instead be experiencing the horror that is now engulfing India?,pro-mitigation,unclear,unclear,pro-mitigation
"""Restaurants generate a lot of sales and payroll tax revenue........said Daniel Patterson, a chef and a restaurateur in California""

Our so-called president is demanding a payroll tax cut. How is a payroll tax cut going to help restaurants and bars shuttered because of Covid?",unclear,unclear,anti-mitigation,unclear
Nope. Not gonna wear one. Sorry!,anti-mitigation,unclear,anti-mitigation,anti-mitigation
"Very simple, I’ll pick companies business and destinations that are pro vaccination.",pro-mitigation,unclear,pro-mitigation,pro-mitigation
"No more mask wearing. There could be varients  of this for years to come. People who are immunocompromised will just have to take the same safety precautions they do for flu season or any other potential situation that could harm them.  I do not believe that the majority of Americans will ever bow to this kind of government intrusion into their lives ever again. If you’re one of the people who are afraid, then wear your mask and stay inside.",anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
"If vaccines and/or some for of “passport” end up being a requirement for normal participation in public life, including work, school, travel, or business attendance, then pass should also be given to those previously infected and recovered who can prove antibody presence. They do this already in Israel, and the EU is also including it in the development of their Digital Green Certificate (they’re even including recent negative tests.) Why can’t we?",anti-mitigation,unclear,pro-mitigation,unclear
"The sooner the test case on this issue is decided by the courts the better. This is a race against variants, and the variants are winning.  The president of the United States and the governor of Florida rarely agree on anything, but both men say to get vaccinated and life can return to normal.  Time is of the essence.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"I’m just incredulous that people make such a fuss about being asked to wear masks. What a bunch of babies! 

I’m fully vaxxed and routinely wear my mask in stores etc. on the basis that if I can do anything with even the remotest chance of helping an immunocompromised person or kid, then I’m going to do it. Not hosting a happily mutating virus is an added incentive. It’s just not a big deal to do it.

Grow up, America.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"We have not eaten at a restaurant since early March. We will not eat at a restaurant until there is a safe, effective vaccine available. We are both seniors and it’s just not worth the risk.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
So far the military has not required all its personel to get vaccinated.   President Biden should order this to be done.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Get vaccinated or accept the risk.  No more masks for the vaccinated.,unclear,unclear,unclear,pro-mitigation
Meanwhile Michigan GOP members introduced a bill making it illegal for the state and any state run entity to require proof of vaccination.,unclear,anti-mitigation,anti-mitigation,anti-mitigation
"I need some assurance that anyone I interact with or share airspace with--in a restaurant,  on an airplane,  in a store, at the movies, etc--is not a threat to my health. Without that assurance,  why shouldn't I be reluctant to fly, eat out, shop? C'mon people. I want to live a full life again.  Don't you?",unclear,anti-mitigation,pro-mitigation,unclear
"An employee could be encouraged to get jabbed until a set date, at which time it would be required.  This would give the employee time to decide, and time to find another job.  And yes, require the jab for new hires.  An employee who does not cooperate (for whatever stupid reason) is not an employee I want in my company.  That person will always cause more problems than the value of their output.",pro-mitigation,unclear,unclear,pro-mitigation
Just do it.,unclear,unclear,unclear,pro-mitigation
"Sanitizing windows seems like a purely symbolic gesture when you consider that the greater way in which the virus is spread indoors is by customers who are unmasked while eating and drinking and talking loudly. All the other cleaning measures are made superfluous by unmasked patrons. Sadly, the only way ahead for restaurants and bars is to remain closed for indoor dining until a vaccine arrives. In the interim, the government urgently needs to find a way to subsidize their wages and rent.",pro-mitigation,pro-mitigation,unclear,pro-mitigation
My daughters company is bringing back their employees to the office next month. For those who choose not to be vaccinated they must show a negative Covid test every 72 hours.,unclear,pro-mitigation,pro-mitigation,pro-mitigation
"Or just keep everything the way it's been for over the past year, with everyone working remotely.  Works for me.",pro-mitigation,unclear,unclear,anti-mitigation
"Bottom line is that you can’t force somebody to take the vaccine, many of us have it but I think it’s a gross violation of civil rights to force anyone in order to work, get on a plane or go to a sports event, Supreme Court will strike it down as soon as it’s brought..￼",anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
"Guns + coronavirus = why would I ever want to go to any large public place again? Home from now on, thanks.",pro-mitigation,unclear,unclear,unclear
"how about i share Dr Fauci's thoughts from last night on PBS (skip to 4 m if youre in a hurry) --<a href=""https://www.youtube.com/watch?v=cJEz8Xfq9iU"" target=""_blank"">https://www.youtube.com/watch?v=cJEz8Xfq9iU</a>",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Most employees require vaccination for dozens of diseases. So do many schools, and sports. And gym memberships. 
So why wasn't everyone complaining 50 years ago?",pro-mitigation,unclear,anti-mitigation,pro-mitigation
Quick turnaround testing... we desperately need a nationwide crash program to get reliable Covid testing with 24-to-48-hour turnaround.  Maybe in January?,pro-mitigation,unclear,pro-mitigation,pro-mitigation
"I do like the cuomo-Yankees-Mets plan: if you got a shot you can sit with the adults; and if you go to a game but haven't, you can sit with the sparse ever-shrinking socially-distanced crowd, or get a shot and go to another game for free.

It's simple, really: real baseball fans care for their fellow fan.

Get your shot!  It's proven far safer than the alternative.",pro-mitigation,pro-mitigation,,pro-mitigation
"I am not opposed to a COVID-19 vaccine. But, as long as the current vaccines only have emergency approval I will not get it. Once full approval is granted, then ok.",unclear,pro-mitigation,unclear,pro-mitigation
"Just like many vaccinations are mandatory to attend school, the COVID-19 vaccine should be required to participate in society without restrictions.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Vaccination is not a personal choice, but a public health necessity.  While sticking a needle into someone’s arm is clearly an invasion of personal privacy, eliminating death and restoring societal functioning is far more important than the invasion. There should be a vaccine passport and fines should be imposed upon those individuals who refuse to get vaccinated.  With the light at the end of the tunnel clearly visible, now is not the time for polite encouragement.",pro-mitigation,anti-mitigation,pro-mitigation,pro-mitigation
"Deep bowls of farro?  I’d bet most farro lovers are still cooking at home, not hitting restaurants for a margarita and a burger.  Would never risk my life or the lives of others for farro.",pro-mitigation,unclear,pro-mitigation,pro-mitigation
"We left the United States and went to Norway (dual citizens) so our children can go to school this fall.  The day we arrived last week, the government had a press conference, alarmed because the positivity rate had climbed to... 0.9%  In response, they banned the sale of alcohol after midnight nationwide, effective immediately.  There have been no protests.",pro-mitigation,unclear,unclear,unclear
"A lot of commenters here rightly suggest that unvaccinated people be charged more for health insurance coverage due to the added risk of predictable increased health care costs they'll incur if they get sick. I would take a different approach. Insurance companies should have no obligation to pay covid NJ related costs once the vaccine is widely available on demand.

Personal responsibility goes both ways. If you're going to avoid the vaccine because you believe you have a right to decide what happens to your health, you should take responsibility for paying for any costs related to a preventable illness should you get it.

Such a policy would quickly expose the lie behind ""personal responsibility"", that it is an excuse for freeloading or just a political statement. The same people who claim they have a right to avoid getting vaccinated would be the first to demand their health insurance company, using premiums gathered from a large group of their fellow citizens, pay for their illness that could have been prevented if they took actual responsibility for their health.

Of course, they'd do everything possible to make it look like the insurance company was the villain.",pro-mitigation,unclear,pro-mitigation,unclear
Listen to today's The Daily and you will realize that the only responsible thing to do as a manger is require vaccination to work. The science shows that the unvaccinated put those who are vaccinated but immunocompromised at increased risk of mortality. Since when is it your right to risk the life of another citizen? In legal terminology it is called negligence and it is a crime.,pro-mitigation,unclear,pro-mitigation,pro-mitigation
"My husband and I will continue to wear a mask.  We wear one so we will remain healthy and safe, but also to protect each other.  We lost too many friends to COVID in the past 14 months.  Neither of us could bear to lose the other, especially through reckless and thoughtless measures.

In the end, we believe that people will do what they think is best for them, even if it is in direct opposition to what we think or feel.

Getting fully vaccinated and wearing a mask is a no-brainer to us, but then our primary responsibility to our   ourselves and our own health.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Wearing a mask in indoor public places is a nearly effortless way to prevent the spread of illness, and its hard to understand why some find it so difficult?  Perhaps they are fragile or anxious to begin with?  Suffocating snowflakes?",pro-mitigation,anti-mitigation,anti-mitigation,pro-mitigation
"If requiring employees to be vaccinated is not tenable because of employee concerns, a (partial) solution might be to require non-medically excused unvaccinated employees to wear face masks at all times, never get within 6 feet of anyone, and not be allowed in many common areas. (And wear dunce caps?)
Perhaps socially shaming ignorance could prove effective? (It's worked so well on climate change deniers!)",pro-mitigation,unclear,pro-mitigation,pro-mitigation
I truly don’t understand why people are so adamant about not wearing masks. Is it really that big of a problem to wear a mask? I’m fully vaccinated but continue to wear my mask in public. My young children can’t be vaccinated yet and I will mask until they can be protected. If simply wearing a mask can save lives why are people so opposed to it?,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"I reviewed the data linked in this article. To be honest, I don't think it supports the headline and the main conclusions of the article. In many states, retail and office spaces lead to much more infection than bars and restaurants. And across the board, nursing homes and industrial settings are way worse. I understand, hypothetically, the conclusion that bars are dangerous, but I'm just not sure the data bear that out in a meaningful way. This piece feels, to me, like more of a political statement supporting keeping bars closed more than a nuanced take on the data.",anti-mitigation,unclear,anti-mitigation,unclear
"My guess is that most businesses won't require vaccines, but I hope they use incentives to get their employees to do so, if necessary.  To the degree that a business interfaces with the public, to that degree it should mandate employee vaxes.  I want any airline I fly on to do so, and any restaurant or bar as well, and I want them to tell me thru advertisements that they do so.

Some businesses are running up against the Trumpian anti-vax passport laws like what we're passing here in Iowa.  It's bad news when any institution does anything that discourages people getting vaccinated.  This is primarily a public health problem, and that communitarian instinct should be uppermost in the considerations of anyone with power to induce others to vaccinate against covid.",pro-mitigation,pro-mitigation,anti-mitigation,pro-mitigation
I have a small company of 10 employees. One employee is not vaccinated and won't get vaccinated. So everyone else is effectively forced to wear a mask. Thankfully we have an at will state. I can fire this employee for any reason. Funny to me how people will choose unemployment and financial instability over being a courteous and responsible member of society.,pro-mitigation,unclear,pro-mitigation,pro-mitigation
"What about people who have already had the virus and have developed antibodies naturally?

This is just as good as having the vaccination, and many scientists think it is even better, as you have been exposed to the whole virus.

A positive antibody test should count as much as having the vaccination.",anti-mitigation,pro-mitigation,unclear,anti-mitigation
"The fact is a very small minority of people are medically prohibited from immunization. There is no legitimate religion that objects to immunization. Yes there are phony religions. Some might say the ""legit"" ones are phony too.  

So refusing to get immunized should not be a choice for anyone not medically prohibited.",pro-mitigation,unclear,pro-mitigation,pro-mitigation
"Mask or no mask, people better get themselves in survival mode. Humans have infested the Earth and the Earth is just beginning to fight back. The Earth has a big advantage.",unclear,unclear,unclear,unclear
"I'm vaccinated, but when I am indoors, I wear a mask. I do that because not everyone can be vaccinated.

However, once everyone, including children, has access to the vaccine, I will not be wearing a mask when not in very high risk situations, e.g., on a train or plane. Quite simply, I am not going to subsidize those who are too foolish or selfish to get vaccinated.

I am concerned about those who can't be vaccinated for a medical reason, but the real risk for them is people who don't get vaccinated. If not for them, we could wipe this disease out almost overnight, and life could go back to normal.

Their behavior is shameful.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
There is no moral high ground here. You want people to be depressed and lose their business and jobs and be unemployed? You want spiking gun violence and people in deep distress? Then keep pretending to take the high ground.,unclear,unclear,anti-mitigation,unclear
"Since March 2020, until last month, I wore a mask religiously. I socially distanced for the entire pandemic and the minute a vaccine was available to me, I took it without question. Before doing so I assiduously followed The development of these vaccines and all of the concomitant risks and concerns. I continue to stay abreast of developments and conditions regarding COVID-19. I do this for myself and I do this for others. I am already aware that those who have been double innoculated with the Pfizer or Moderna vaccines are at extremely minimal risk of contracting the delta variant.

Therefore, I have a little patience or sympathy in what will soon be July of 2021 for any adult who is still dragging his or her feet about getting vaccinated. Covid vaccines have become extremely widely available and can be acquired for free at most any large chain drugstore at a moments notice.

I have continued to wear masks at the supermarket and if I am going to be in any interior location where there are young children present. I am happy to keep doing this until kids are vaccinated. 

On the other hand, I am not going to swelter in a a face mask in 90 and 100° weather all summer or in my gym every day to accommodate irresponsible, foolish, and lazy people. If you have unvaccinated people in your home, or you won’t be vaccinated, at this stage of the pandemic, it is now on you to continue to wear masks and socially isolate to the degree that is appropriate to your individual circumstances.",unclear,pro-mitigation,unclear,pro-mitigation
"As a worker, I do not want to spend 40 hours a week next to a person who has not been vaccinated, and I feel might rights should be respected. That for me is the essence of the problem. 

I know some workers are being granted the right to work from home if they share this concern, while the plan is for everyone in the workplace to wear masks and social distance until herd immunity is achieved, if that ever happens. Not the best solution, but then what is?",pro-mitigation,unclear,pro-mitigation,pro-mitigation
"people are dumb. Not most I'd say, but enough. So, i choose to advoid things like this. Unfortunately the effects of this 'dumb' minority impacts the majority.  Then same group will complain the government didn't do enough when their own family or friends die from COVID.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Wow,New Yorkers can remove their face masks. Floridians have mostly been mask less for10 months. School have been open since September.

I live in the largest retirement community in America called The Villages. If you go to church or shopping at the supermarket I would wear a mask.  The rest of the NO MASK .It is a nice way to live.

Maybe someday New Yorkers will enjoy going mask-less?



But.....I doubt it.",anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
This article highlights a particular sector (hospitality and restaurants) that also happens to characterize the US as a whole (nor can I exclude myself): we're shortsighted and woefully fall of the wrong side of the marshmallow experiment.,unclear,unclear,unclear,unclear
"What's strange about this whole thing is that the same people who feel it is an intrusion for the government or their employer to require a simple vaccine have no problem with requiring women to take a pregnancy to delivery.    Perhaps they have never been through pregnancy and delivery, so they can't compare the intrusiveness of the two.",pro-mitigation,unclear,unclear,unclear
"""Delicate decision"" is a term for the weak-willed.

The corporations of this country need to take a stand and do what is right. 

Those refusing to vaccinate should be sent on their merry way to seek ""better"" opportunities for ""personal freedom"". There will be plenty of compliant replacements willing to fill your spot.

This requirement is not only necessary to protect all employees, but to protect others that they interact with, including in some industries the companies' customers.

It is unfortunate that such a decision needs to be made, a decision that would not be necessary had the American general public, along with their leaders, been more diligent in eliminating the virus.

""We made our bed and need now to sleep well in it.""",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Some communities prematurely eased COVID restrictions because many persons were frustrated with wearing masks or doing anything that requires them to care for anyone other than themselves. My city requires unvaccinated persons to wear masks, but we are on the honor system, which is a joke. The city says that less than half of the population is vaccinated, but most people don't wear masks. If the honor system worked, I should see about 50 percent of people wearing masks, unless unvaccinated persons are all locked inside their homes.",pro-mitigation,unclear,unclear,pro-mitigation
There’s nothing delicate about it. Most businesses ban guns and you can’t drive to work as fast as you want. Selfish behavior that endangers others should have consequences.,pro-mitigation,unclear,unclear,unclear
"If you still have the money to go out to bars, then why not just give the money to your favorite bar and then go home and make your own drink? It it really SO important to go out and socialize right now? Can't we all agree that we're in this together? Give money to your favorite place - restaurant, salon, bar, whatever - but don't force workers back in. Keep your establishments going so they can pay their workers to stay home.",pro-mitigation,unclear,pro-mitigation,pro-mitigation
Stupidity and the belief of invincibility. Well the reckoning will come soon enough.,unclear,unclear,unclear,pro-mitigation
Why should I wear a mask and socially distance if I am fully immunized and it is highly improbable that I can spread the virus to others?,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
"Its not just a problem in the South and Midwest.

On a recent Saturday night, my kids and I were driving through Boston's North End (our Little Italy), and the restaurants were teeming with people.  Mike's Pastry, which is famous for its cannoli, was truly packed - probably 50 people waiting in line.

It  was a shocking and depressing sight, especially in ""Maskachusetts"".",pro-mitigation,unclear,unclear,pro-mitigation
"I think positive incentives from employers is a smart way to start making all employees aware of a company's position on vaccinations. After some period of time, when it has become clear that the remainig unvaccinated employees will not be incentivized with a carrot, then negative incentives should be tried. Adding vaccination status to an employee's performance evaluation along with appropriate pay raises would either incentivize vaccinations or drive those folks to find employment elsewhere, which should make those that did receive their shot feel safer when coming to work.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"This is one of the most depressing aspects of our uniquely American reaction to the messaging by public science and health experts. So, so many selfish people just couldn't be bothered to have good judgement and just thought the virus is anyone else's problem but their own. SO now, we have to deal with shutdowns and mounting economic disaster longer and longer because we're just too dumb to understand the concept of short term sacrifice for long term gain.",pro-mitigation,unclear,pro-mitigation,pro-mitigation
Neither.  It is protecting workers who have chosen to be vaccinated to be exposed to those who do not want to and even  even between those who do not want to vaccinate.,unclear,anti-mitigation,pro-mitigation,unclear
"To what extent is the legal risk mitigated by insurance?

What exposure does a company have, if a vaccinated person is exposed to an unvaccinated co-employee and gets sick? 

What if a vaccinated or unvaccinated customer is exposed to an unvaccinated employee and get sick?

In America, anyone can file a lawsuit.  The “what-ifs” on Covid policy can drive us crazy and can lead to paralysis.  I think the risk-benefit analysis should be weighted in favor of herd immunity and, therefore, a mandate with reasonable accommodations as noted in the article.",unclear,unclear,unclear,unclear
Notwithstanding Senator Paul's  explanations data now available from India shows that the delta variant infected more younger people and the death rates were higher in younger people. In fact the death rates were higher in people who were younger than 55 than older people. The good news was that vaccines were still effective. So we can vaccinate and wear masks if not vaccinated.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Everyone should spend a few minutes on Youtube after entering ""anti masker"" in the search engine, step back and watch the clown show.  The most common excuses are ""medical exemption!"" usually screamed at the top of their powerful lungs, ""violating my constitutional rights!"", usually accompanied by a MAGA cap, and ""The virus isn't real, and I am not a sheep!""...  All you have to do after that adventure is use the NYT's county by county vaccination percentage map to know where NOT to move or send your children to school.",pro-mitigation,unclear,anti-mitigation,pro-mitigation
"Wearing a mask is so trivial.  Staying home, closing businesses, never seeing anyone - those are serious, and need to be seriously considered before re-imposing those rules.  But masks?  A scrap of fabric on your face?  Get over it.

Of course, if everyone who can would just get vaccinated, we wouldn't need to, but that isn't the case yet.",pro-mitigation,anti-mitigation,anti-mitigation,pro-mitigation
"Less than 1 year of clinical trials. The average is 4-10 years of trials for vaccine approval. We are putting a whole lot of faith in the pharmaceutical industry, at this point. Which is a switch, as most on here would never have taken that position before the pandemic began.",anti-mitigation,unclear,anti-mitigation,unclear
"""Some scientists agreed, but urged a localized approach.""

It is obvious that the new Delta variant know no boundaries with whom or where to infect in the world. Why are some scientist in favor of a 'local approach' especially in those local areas who's rights and personal freedoms are in jeopardy of being taken away, rather than spreading a medical concern during a pandemic.

“We don’t want to return to lockdown or more disruptive mandates here,” Dr. Ferrer said. “We want to stay on the path we’re on right now, which is keeping community transmission really low.”

And will add, what about the global traveling markets of people -  air land and sea. 

Have my two Gate Chips and still where a mask in the markets because out of 330 mil Americans, only 34.5 million have been confirmed; leaves about 298 million who have never caught the disease...and how many of these have not been inoculated today?  There is also no guarantee my two Gate Chips will last longer than 6 months.

Waiting patiently for the fall flu/virus program to start here after all the summer tourism come back home to start school again. Already business/schools governments are talking Mandatory Vaccination ....why buy local policy...and not federal policy? Delta cares not who implements the program; we only care that it is implemented all across the country and to those coming and leaving.",pro-mitigation,unclear,pro-mitigation,unclear
Science doesn't care about your feelings.,unclear,unclear,unclear,unclear
"To enter elementary school they ask for your vaccines, every year. When you immigrate to the US and request your green card, they ask you vaccines for a half a dozen eradicated viruses, but you can’t ask for a Covid vaccine certificate? It is not about privacy, it is common sense.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"I respect anyone's right to make a bad health decision. But, when that bad decision has implications to everyone else's health, we are beyond respecting 'personal choice.' 

There is no rational reason to defer getting an evidenced-based vaccine administered to millions of people already. 

There is no real religious basis to getting it either: most all leaders of major religions have endorsed the vaccine. (What could be more pro-life than a vaccine that prevents COVID related death?)

If you are on the fence, please get vaccinated.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
This should not be an issue in a country where workplace drug tests are commonplace.,pro-mitigation,unclear,unclear,pro-mitigation
And would you like fries with that virus?,unclear,unclear,unclear,unclear
"It is truly stunning how much people are willing to risk for a meal or some transient entertainment.  I have not eaten in a restaurant since February, and while I do miss the occasional convenience and sense of being out in public, I cannot justify the risk to myself, my family, and my community.  

What are these people thinking?",pro-mitigation,unclear,pro-mitigation,pro-mitigation
"Every owner or manager or employee of a bar, restaurant, or gym needs to stop talking about ""freedom and liberty"" and start insisting that their patrons get smart and socially distance and wear masks.   

Owners, so desperate to get some income (as if they were the only ones hurting) ignored the warning and allowed people to be stupid ... yes it was their right to be stupid but if you want your business (and others' who did in fact insist upon safe behavior and not simply give the ""rules"" lip service) to survive, you'd better do what science says you must do:  wear masks, socially distance.  

Now everyone's paying the price for your inability to ""wait for the marshmallow"".",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Stimulus payments should go to the businesses and employees of them most affected by this pandemic - yes restaurants, bars and households where a parent must stay home from work to facilitate remote learning. This instead of blanket payments to everyone who is still gainfully employed and doesn’t need it. This could be achieved by a securely encrypted IRS opt-out app. But hey, everything’s going to be back to normal soon so why waste $$ on such a thing?
Next, restaurants and bars could be assisted to implement a delivery model using their own employees since fewer are needed for outdoor and curbside/carry out. Allow forgiveable loans so that electric vehicles outfitted with hot boxes and chill boxes can be obtained by the business for home delivery servers to use rather than their own vehicles. Include delivery of alcoholic beverages with ID - because not allowing that is plain silly. Revamp menu items to include delivery options that can be easily warm and serve in the home.
I’d gladly pay 20% gratuity for tasty meals and drinks brought to my door by the restaurant and not a 3rd party delivery aggregation service. 
Everyone thinks things are going to return to normal soon so too many think it is a waste of time to reinvent in this way. Right.",pro-mitigation,unclear,unclear,unclear
